series_name,review_count,archived_reviews,dongchedi_incremental_reviews,autohome_incremental_reviews,earliest_review,latest_review,pre_test_end_reviews,post_test_end_reviews,review_coverage_status
丰田bZ3,58,58,0,0,2023-03-16 11:19:00,2026-05-06 00:59:00,58,0,pre_test_review_available
丰田bZ5,57,57,0,0,2025-07-13 15:06:00,2026-07-05 16:00:00,56,1,pre_test_review_available
五菱佳辰,10,0,0,10,2022-09-08 00:00:00,2024-05-08 00:00:00,10,0,pre_test_review_available
五菱宏光,10,0,0,10,2022-01-21 00:00:00,2025-09-11 00:00:00,10,0,pre_test_review_available
五菱征程,10,0,0,10,2021-12-04 00:00:00,2022-02-26 00:00:00,10,0,pre_test_review_available
五菱星云,10,0,0,10,2023-09-23 00:00:00,2023-12-01 00:00:00,10,0,pre_test_review_available
五菱星光,10,0,0,10,2025-08-21 00:00:00,2026-03-11 00:00:00,10,0,pre_test_review_available
五菱星驰,10,0,0,10,2022-10-19 00:00:00,2025-09-01 00:00:00,10,0,pre_test_review_available
亚洲狮,10,0,0,10,2023-01-16 00:00:00,2023-04-26 00:00:00,10,0,pre_test_review_available
亚洲龙,100,100,0,0,2020-11-10 09:28:00,2026-07-10 02:07:00,93,7,pre_test_review_available
享域,10,0,0,10,2021-07-20 00:00:00,2023-04-05 00:00:00,10,0,pre_test_review_available
伊兰特,100,100,0,0,2020-11-27 16:48:00,2026-06-25 11:25:00,100,0,pre_test_review_available
传祺E8新能源,25,0,0,25,2025-08-20 00:00:00,2026-08-02 00:00:00,18,7,pre_test_review_available
传祺GA8,10,0,0,10,2021-02-14 00:00:00,2023-05-27 00:00:00,10,0,pre_test_review_available
传祺M6,100,100,0,0,2020-10-19 02:13:00,2026-07-09 12:08:00,98,2,pre_test_review_available
传祺M8,100,100,0,0,2020-10-07 18:04:00,2026-06-27 13:04:00,100,0,pre_test_review_available
元PLUS,100,100,0,0,2022-02-23 02:37:00,2026-07-07 16:07:00,98,2,pre_test_review_available
元UP,92,92,0,0,2025-03-25 18:44:00,2026-07-09 17:16:00,89,3,pre_test_review_available
冠道,100,100,0,0,2020-08-14 15:50:00,2026-05-28 17:18:00,100,0,pre_test_review_available
凌宝BOX,10,10,0,0,2021-02-16 17:28:00,2026-06-26 21:46:00,10,0,pre_test_review_available
凌尚,10,0,0,10,2022-10-18 00:00:00,2026-03-06 00:00:00,10,0,pre_test_review_available
凌放HARRIER,10,0,0,10,2023-06-24 00:00:00,2025-06-18 00:00:00,10,0,pre_test_review_available
凌渡,199,199,0,0,2020-11-18 16:58:00,2026-07-06 08:26:00,197,2,pre_test_review_available
凡尔赛C5 X,94,94,0,0,2021-12-26 22:31:00,2025-12-26 20:46:00,94,0,pre_test_review_available
凯威德,1,1,0,0,2026-06-08 09:15:00,2026-06-08 09:15:00,1,0,pre_test_review_available
凯美瑞,99,99,0,0,2020-11-04 11:30:00,2026-02-20 22:43:00,99,0,pre_test_review_available
凯翼拾月,23,0,0,23,2024-01-10 00:00:00,2026-08-22 00:00:00,13,10,pre_test_review_available
凯迪拉克CT5,100,100,0,0,2020-11-03 17:30:00,2025-12-22 00:01:00,100,0,pre_test_review_available
凯迪拉克XT5,97,97,0,0,2020-12-27 12:45:00,2026-07-09 13:45:00,94,3,pre_test_review_available
凯迪拉克XT6,100,100,0,0,2020-10-27 19:19:00,2026-06-18 14:55:00,100,0,pre_test_review_available
别克E4,10,0,0,10,2024-01-23 00:00:00,2025-06-21 00:00:00,10,0,pre_test_review_available
别克GL6,10,0,0,10,2022-05-21 00:00:00,2023-08-27 00:00:00,10,0,pre_test_review_available
别克GL8,100,100,0,0,2020-08-20 15:45:00,2026-06-30 20:50:00,100,0,pre_test_review_available
别克GL8新能源,20,0,0,20,2025-09-20 00:00:00,2026-08-21 00:00:00,17,3,pre_test_review_available
勇士,10,0,0,10,2014-04-24 00:00:00,2026-02-03 00:00:00,10,0,pre_test_review_available
北京EU5,10,0,0,10,2018-10-31 00:00:00,2021-10-15 00:00:00,10,0,pre_test_review_available
北京现代ix35,10,0,0,10,2023-08-01 00:00:00,2026-03-30 00:00:00,10,0,pre_test_review_available
博越REV,17,17,0,0,2026-03-31 14:14:00,2026-07-06 15:12:00,16,1,pre_test_review_available
卡罗拉,99,99,0,0,2020-11-20 18:04:00,2026-07-03 18:36:00,98,1,pre_test_review_available
卡罗拉双擎E+,10,0,0,10,2020-06-17 00:00:00,2021-09-17 00:00:00,10,0,pre_test_review_available
卡罗拉锐放,96,96,0,0,2022-02-09 14:56:00,2026-07-08 22:19:00,90,6,pre_test_review_available
合创A06,10,0,0,10,2023-03-04 00:00:00,2023-04-16 00:00:00,10,0,pre_test_review_available
吉利ICON,99,99,0,0,2020-10-10 13:11:00,2026-02-27 17:36:00,99,0,pre_test_review_available
吉利熊猫,10,0,0,10,2025-03-31 00:00:00,2026-01-25 00:00:00,10,0,pre_test_review_available
君威,100,100,0,0,2020-10-24 16:09:00,2025-12-10 01:31:00,100,0,pre_test_review_available
君越,100,100,0,0,2020-10-25 14:20:00,2026-07-09 19:38:00,96,4,pre_test_review_available
启辰D60,98,98,0,0,2021-01-16 23:37:00,2026-06-21 22:01:00,98,0,pre_test_review_available
启辰T60,10,0,0,10,2022-05-12 00:00:00,2024-12-22 00:00:00,10,0,pre_test_review_available
唐新能源,28,0,0,28,2025-08-27 00:00:00,2026-08-12 00:00:00,18,10,pre_test_review_available
嘉华,100,100,0,0,2021-09-09 13:08:00,2026-04-06 09:37:00,100,0,pre_test_review_available
型格,100,100,0,0,2022-01-07 11:55:00,2026-06-03 14:51:00,100,0,pre_test_review_available
埃尚,5,5,0,0,2025-11-05 09:35:00,2026-06-18 12:12:00,5,0,pre_test_review_available
夏,69,69,0,0,2025-01-08 20:15:00,2026-06-25 20:43:00,69,0,pre_test_review_available
大众CC,200,200,0,0,2020-11-11 16:33:00,2026-06-24 22:54:00,200,0,pre_test_review_available
大众ID.3,200,200,0,0,2021-11-05 14:08:00,2026-07-01 23:28:00,199,1,pre_test_review_available
大家7,10,0,0,10,2024-11-23 00:00:00,2025-11-19 00:00:00,10,0,pre_test_review_available
大家9,10,0,0,10,2024-09-20 00:00:00,2025-03-12 00:00:00,10,0,pre_test_review_available
大通G10,43,43,0,0,2019-07-01 13:05:00,2026-04-03 21:14:00,43,0,pre_test_review_available
大通G50,99,99,0,0,2019-07-01 11:23:00,2026-06-27 22:22:00,99,0,pre_test_review_available
大通G70,7,7,0,0,2023-11-19 19:28:00,2025-10-10 17:34:00,7,0,pre_test_review_available
大通G90,26,26,0,0,2022-04-30 17:51:00,2026-04-18 18:01:00,26,0,pre_test_review_available
天籁,100,100,0,0,2020-12-07 10:17:00,2026-02-26 17:19:00,100,0,pre_test_review_available
奇骏,100,100,0,0,2020-12-05 22:12:00,2024-10-01 08:45:00,100,0,pre_test_review_available
奔奔E-Star,3,0,0,3,2023-09-26 00:00:00,2025-01-12 00:00:00,3,0,pre_test_review_available
奔腾小马,82,82,0,0,2024-06-01 17:09:00,2026-07-04 22:41:00,81,1,pre_test_review_available
奔驰A级,100,100,0,0,2020-10-19 12:49:00,2026-04-24 14:05:00,100,0,pre_test_review_available
奔驰C级,100,100,0,0,2020-10-15 18:22:00,2026-07-07 13:37:00,97,3,pre_test_review_available
奔驰E级,92,92,0,0,2020-10-28 16:10:00,2026-07-09 12:47:00,88,4,pre_test_review_available
奔驰GLB,99,99,0,0,2020-10-27 19:28:00,2026-07-07 17:35:00,98,1,pre_test_review_available
奔驰GLC,99,99,0,0,2020-10-18 21:17:00,2026-07-09 13:37:00,95,4,pre_test_review_available
奔驰V级,83,83,0,0,2019-11-01 22:07:00,2026-06-28 07:14:00,83,0,pre_test_review_available
奕炫,100,100,0,0,2021-01-17 10:36:00,2026-05-26 11:28:00,100,0,pre_test_review_available
奕跑,83,83,0,0,2019-07-16 20:00:00,2026-07-10 17:59:00,82,1,pre_test_review_available
奥德赛,100,100,0,0,2020-10-25 00:40:00,2026-07-07 21:34:00,99,1,pre_test_review_available
奥迪A3,100,100,0,0,2020-11-11 14:48:00,2026-07-09 12:50:00,96,4,pre_test_review_available
奥迪A4L,100,100,0,0,2020-12-27 22:23:00,2025-11-28 11:09:00,100,0,pre_test_review_available
奥迪A5L,98,98,0,0,2025-10-11 13:45:00,2026-07-07 22:40:00,96,2,pre_test_review_available
奥迪A5L Sportback,96,96,0,0,2025-08-15 17:58:00,2026-07-09 15:37:00,93,3,pre_test_review_available
奥迪A6L,100,100,0,0,2020-10-14 17:53:00,2026-07-09 17:33:00,99,1,pre_test_review_available
奥迪A6L e-tron,1,1,0,0,2026-05-27 13:06:00,2026-05-27 13:06:00,1,0,pre_test_review_available
奥迪A7L,99,99,0,0,2021-12-29 15:36:00,2026-07-06 22:21:00,98,1,pre_test_review_available
奥迪E5 Sportback,71,71,0,0,2025-09-10 16:34:00,2026-07-08 12:07:00,69,2,pre_test_review_available
奥迪Q2L,100,100,0,0,2020-09-01 16:23:00,2026-04-18 22:52:00,100,0,pre_test_review_available
奥迪Q3,100,100,0,0,2020-11-23 15:24:00,2026-06-24 22:11:00,100,0,pre_test_review_available
奥迪Q3 Sportback,100,100,0,0,2021-04-09 14:43:00,2026-07-06 13:17:00,99,1,pre_test_review_available
奥迪Q4 e-tron,100,100,0,0,2022-08-09 20:19:00,2026-06-15 09:15:00,100,0,pre_test_review_available
奥迪Q5 e-tron,81,81,0,0,2022-02-18 11:46:00,2026-07-06 18:46:00,80,1,pre_test_review_available
奥迪Q5L,100,100,0,0,2020-10-18 14:45:00,2026-07-07 14:07:00,94,6,pre_test_review_available
奥迪Q5L Sportback,100,100,0,0,2021-04-09 14:01:00,2026-06-26 13:42:00,100,0,pre_test_review_available
奥迪Q6L Sportback e-tron,16,16,0,0,2025-09-16 23:33:00,2026-02-03 14:45:00,16,0,pre_test_review_available
奥迪Q6L e-tron,53,53,0,0,2025-08-31 21:20:00,2026-06-18 17:51:00,53,0,pre_test_review_available
威兰达,100,100,0,0,2020-10-28 18:37:00,2026-07-07 13:31:00,98,2,pre_test_review_available
威朗,100,100,0,0,2022-01-05 23:54:00,2025-09-23 21:37:00,100,0,pre_test_review_available
威然,179,179,0,0,2020-06-17 10:30:00,2026-06-29 09:46:00,179,0,pre_test_review_available
威霆,39,39,0,0,2020-01-20 10:24:00,2026-03-05 15:03:00,39,0,pre_test_review_available
威飒,99,99,0,0,2022-01-12 12:07:00,2026-05-04 12:41:00,99,0,pre_test_review_available
宋L EV,99,99,0,0,2024-01-09 09:57:00,2026-06-13 00:50:00,99,0,pre_test_review_available
宋PLUS新能源,20,0,0,20,2025-09-01 00:00:00,2026-04-09 00:00:00,20,0,pre_test_review_available
宋Pro新能源,11,0,0,11,2025-11-17 00:00:00,2026-08-22 00:00:00,1,10,pre_test_review_available
宏光MINIEV,28,0,0,28,2025-09-04 00:00:00,2026-08-18 00:00:00,18,10,pre_test_review_available
宝来,199,199,0,0,2020-10-18 21:13:00,2026-06-26 21:52:00,199,0,pre_test_review_available
宝马1系,10,0,0,10,2023-04-06 00:00:00,2024-02-02 00:00:00,10,0,pre_test_review_available
宝马2系,23,23,0,0,2025-04-28 09:35:00,2026-05-01 07:14:00,23,0,pre_test_review_available
宝马3系,100,100,0,0,2020-10-12 19:17:00,2026-04-27 11:06:00,100,0,pre_test_review_available
宝马5系,100,100,0,0,2020-10-30 17:45:00,2026-02-06 22:37:00,100,0,pre_test_review_available
宝马X1,100,100,0,0,2020-11-25 10:31:00,2026-07-10 06:53:00,99,1,pre_test_review_available
宝马X2,10,0,0,10,2021-09-24 00:00:00,2026-02-13 00:00:00,10,0,pre_test_review_available
宝马X3,99,99,0,0,2020-10-25 15:49:00,2026-07-08 02:08:00,95,4,pre_test_review_available
宝马X5,99,99,0,0,2022-05-01 17:35:00,2026-07-09 00:46:00,96,3,pre_test_review_available
宝马i3,98,98,0,0,2022-05-05 14:26:00,2026-06-02 11:50:00,98,0,pre_test_review_available
宝马i5,41,41,0,0,2024-01-31 11:15:00,2026-07-04 20:50:00,40,1,pre_test_review_available
宝马iX1,49,49,0,0,2023-08-31 20:15:00,2026-07-04 16:29:00,48,1,pre_test_review_available
宝马iX3,10,0,0,10,2024-07-22 00:00:00,2026-04-25 00:00:00,10,0,pre_test_review_available
宝骏KiWi EV,10,0,0,10,2023-07-29 00:00:00,2024-12-16 00:00:00,10,0,pre_test_review_available
小米SU7,95,95,0,0,2025-09-24 14:50:00,2026-07-09 08:18:00,74,21,pre_test_review_available
小虎FEV,5,5,0,0,2021-04-26 16:56:00,2022-06-30 18:47:00,5,0,pre_test_review_available
小鹏G3,10,0,0,10,2023-05-03 00:00:00,2026-08-17 00:00:00,9,1,pre_test_review_available
小鹏P5,10,0,0,10,2023-11-15 00:00:00,2023-12-31 00:00:00,10,0,pre_test_review_available
小鹏P7,10,0,0,10,2023-08-28 00:00:00,2026-06-17 00:00:00,10,0,pre_test_review_available
小鹏P7+,27,0,0,27,2025-05-10 00:00:00,2026-05-27 00:00:00,27,0,pre_test_review_available
小鹏X9,26,0,0,26,2025-07-29 00:00:00,2026-06-26 00:00:00,26,0,pre_test_review_available
岚图追光L,18,0,0,18,2025-08-30 00:00:00,2026-08-21 00:00:00,15,3,pre_test_review_available
帕萨特,197,197,0,0,2020-07-28 17:02:00,2026-07-05 01:28:00,195,2,pre_test_review_available
广汽本田P7,27,27,0,0,2025-03-11 15:53:00,2026-05-21 07:15:00,27,0,pre_test_review_available
库斯途,99,99,0,0,2021-09-13 10:14:00,2026-06-19 22:05:00,99,0,pre_test_review_available
影豹,100,100,0,0,2021-08-02 10:49:00,2026-06-29 14:59:00,100,0,pre_test_review_available
微蓝6,99,99,0,0,2021-04-15 14:16:00,2026-01-26 09:02:00,99,0,pre_test_review_available
思域,100,100,0,0,2020-10-13 16:11:00,2025-11-24 20:57:00,100,0,pre_test_review_available
悦意03,61,61,0,0,2025-04-27 16:42:00,2026-06-28 13:23:00,61,0,pre_test_review_available
悦意07,13,13,0,0,2025-05-31 23:06:00,2026-06-05 22:28:00,13,0,pre_test_review_available
护卫舰07,10,0,0,10,2024-07-08 00:00:00,2024-07-17 00:00:00,10,0,pre_test_review_available
捷豹XEL,10,0,0,10,2025-11-04 00:00:00,2026-01-30 00:00:00,10,0,pre_test_review_available
捷豹XFL,98,98,0,0,2020-09-10 19:39:00,2026-05-11 16:32:00,98,0,pre_test_review_available
捷达VA3,89,89,0,0,2020-01-28 19:59:00,2026-04-30 15:43:00,89,0,pre_test_review_available
捷达VA7,18,18,0,0,2025-03-31 11:02:00,2026-01-09 12:59:00,18,0,pre_test_review_available
探岳,200,200,0,0,2020-11-24 09:12:00,2026-07-07 17:25:00,196,4,pre_test_review_available
探岳X,199,199,0,0,2020-08-10 15:44:00,2026-06-30 17:20:00,199,0,pre_test_review_available
探界者,100,100,0,0,2020-12-23 12:38:00,2025-08-03 16:34:00,100,0,pre_test_review_available
探险者,96,96,0,0,2020-12-18 14:26:00,2026-07-06 16:19:00,94,2,pre_test_review_available
揽境,199,199,0,0,2021-06-13 21:21:00,2026-07-01 00:40:00,198,1,pre_test_review_available
揽巡,196,196,0,0,2022-11-18 09:14:00,2026-07-02 18:21:00,195,1,pre_test_review_available
日产N6,85,85,0,0,2025-12-10 11:42:00,2026-07-04 10:32:00,83,2,pre_test_review_available
日产N7,91,91,0,0,2025-06-04 16:41:00,2025-11-10 19:15:00,91,0,pre_test_review_available
日产NX8,39,39,0,0,2026-04-18 20:57:00,2026-07-10 17:01:00,34,5,pre_test_review_available
昂科威,100,100,0,0,2020-10-26 13:14:00,2026-07-06 18:09:00,97,3,pre_test_review_available
昊铂GT,10,0,0,10,2025-02-27 00:00:00,2025-11-12 00:00:00,10,0,pre_test_review_available
星海S7,37,37,0,0,2024-09-23 18:49:00,2026-07-02 08:49:00,36,1,pre_test_review_available
星海V9,35,35,0,0,2024-05-22 17:38:00,2026-06-14 06:15:00,35,0,pre_test_review_available
星瑞,100,100,0,0,2020-11-27 23:01:00,2026-02-04 11:02:00,100,0,pre_test_review_available
星越L,98,98,0,0,2021-08-20 21:23:00,2026-05-28 13:22:00,98,0,pre_test_review_available
星途ES,96,96,0,0,2025-03-23 17:08:00,2026-04-28 19:34:00,96,0,pre_test_review_available
普拉多,100,100,0,0,2020-11-19 17:38:00,2026-07-09 15:36:00,97,3,pre_test_review_available
智己L6,98,98,0,0,2025-06-05 21:42:00,2026-06-25 15:12:00,98,0,pre_test_review_available
智己L7,99,99,0,0,2022-05-29 14:53:00,2026-05-18 18:14:00,99,0,pre_test_review_available
智跑,100,100,0,0,2021-01-15 23:15:00,2024-02-18 21:27:00,100,0,pre_test_review_available
曹操60,9,9,0,0,2024-01-17 21:23:00,2026-06-29 08:55:00,9,0,pre_test_review_available
朗逸,199,199,0,0,2020-10-23 11:42:00,2026-07-07 22:28:00,198,1,pre_test_review_available
本田CR-V,100,100,0,0,2020-10-13 12:18:00,2026-07-09 23:14:00,92,8,pre_test_review_available
本田HR-V,100,100,0,0,2023-04-29 15:22:00,2026-06-22 17:02:00,100,0,pre_test_review_available
本田UR-V,100,100,0,0,2020-10-27 19:37:00,2026-03-06 20:55:00,100,0,pre_test_review_available
本田XR-V,100,100,0,0,2020-08-29 10:43:00,2026-02-17 08:01:00,100,0,pre_test_review_available
极氪001,26,0,0,26,2025-10-20 00:00:00,2026-08-20 00:00:00,16,10,pre_test_review_available
极氪009,27,0,0,27,2024-08-29 00:00:00,2026-08-22 00:00:00,17,10,pre_test_review_available
极狐 阿尔法S5,97,97,0,0,2025-05-12 11:49:00,2026-07-09 11:16:00,90,7,pre_test_review_available
极狐考拉,10,0,0,10,2025-12-10 00:00:00,2025-12-26 00:00:00,10,0,pre_test_review_available
林肯Z,100,100,0,0,2022-04-13 13:29:00,2026-07-03 23:49:00,98,2,pre_test_review_available
枫叶60s,6,6,0,0,2022-03-04 20:04:00,2022-07-13 17:06:00,6,0,pre_test_review_available
标致4008,99,99,0,0,2021-01-16 17:35:00,2026-06-27 00:30:00,99,0,pre_test_review_available
标致408,100,100,0,0,2020-12-15 20:38:00,2026-07-09 21:59:00,97,3,pre_test_review_available
标致408X,99,99,0,0,2023-04-22 11:28:00,2026-03-18 22:02:00,99,0,pre_test_review_available
标致5008,98,98,0,0,2021-02-05 17:29:00,2026-06-12 12:28:00,98,0,pre_test_review_available
标致508,10,0,0,10,2025-10-01 00:00:00,2026-05-10 00:00:00,10,0,pre_test_review_available
格瑞维亚,100,100,0,0,2022-11-22 19:32:00,2026-07-08 20:43:00,98,2,pre_test_review_available
欧拉好猫,98,98,0,0,2020-11-27 16:49:00,2026-07-09 14:39:00,97,1,pre_test_review_available
欧拉闪电猫,100,100,0,0,2022-10-29 22:31:00,2025-06-20 19:13:00,100,0,pre_test_review_available
欧诺S,35,35,0,0,2019-06-24 00:04:00,2026-04-06 11:14:00,35,0,pre_test_review_available
比亚迪M9,3,0,0,3,2025-11-08 00:00:00,2026-02-10 00:00:00,3,0,pre_test_review_available
比亚迪e7,35,35,0,0,2025-07-08 17:00:00,2026-07-07 09:41:00,34,1,pre_test_review_available
比亚迪e9,10,10,0,0,2021-10-01 17:46:00,2026-01-19 12:38:00,10,0,pre_test_review_available
汉,20,0,0,20,2025-09-12 00:00:00,2026-08-20 00:00:00,10,10,pre_test_review_available
江淮A5 PLUS,10,0,0,10,2023-08-11 00:00:00,2026-05-02 00:00:00,10,0,pre_test_review_available
江淮QX PHEV,10,0,0,10,2023-10-18 00:00:00,2024-07-16 00:00:00,10,0,pre_test_review_available
沃兰多,10,0,0,10,2021-06-24 00:00:00,2026-07-23 00:00:00,9,1,pre_test_review_available
沃尔沃C40,10,0,0,10,2022-08-25 00:00:00,2024-07-26 00:00:00,10,0,pre_test_review_available
沃尔沃EM90,12,12,0,0,2023-11-28 15:54:00,2025-07-28 11:01:00,12,0,pre_test_review_available
沃尔沃ES90,1,0,0,1,2026-05-31 00:00:00,2026-05-31 00:00:00,1,0,pre_test_review_available
沃尔沃S60,100,100,0,0,2020-11-14 16:57:00,2025-10-16 16:22:00,100,0,pre_test_review_available
沃尔沃S90,100,100,0,0,2020-10-26 11:11:00,2026-07-06 22:13:00,98,2,pre_test_review_available
海狮05EV,95,95,0,0,2025-04-07 15:59:00,2026-07-08 19:07:00,91,4,pre_test_review_available
海狮06EV,91,91,0,0,2025-09-06 22:08:00,2026-07-08 23:20:00,85,6,pre_test_review_available
海狮07EV,98,98,0,0,2024-05-30 22:05:00,2026-07-06 12:59:00,97,1,pre_test_review_available
海豚,99,99,0,0,2021-09-02 10:29:00,2026-07-09 23:56:00,97,2,pre_test_review_available
海豹,99,99,0,0,2022-09-16 11:23:00,2026-05-10 16:21:00,99,0,pre_test_review_available
海豹06EV,90,90,0,0,2025-06-29 09:40:00,2026-07-08 10:07:00,88,2,pre_test_review_available
海豹06GT,100,100,0,0,2024-11-09 04:23:00,2026-07-09 16:25:00,94,6,pre_test_review_available
海豹07DM-i,10,0,0,10,2025-12-31 00:00:00,2026-08-15 00:00:00,9,1,pre_test_review_available
海豹07EV,2,2,0,0,2026-04-28 19:52:00,2026-07-03 16:31:00,1,1,pre_test_review_available
海马8S,10,0,0,10,2020-09-23 00:00:00,2024-11-10 00:00:00,10,0,pre_test_review_available
海鸥,100,100,0,0,2023-05-26 09:31:00,2026-06-30 09:45:00,100,0,pre_test_review_available
深蓝L06,97,97,0,0,2025-11-27 10:43:00,2026-07-09 21:24:00,86,11,pre_test_review_available
深蓝L07,96,96,0,0,2024-09-26 14:20:00,2026-06-14 15:28:00,96,0,pre_test_review_available
深蓝SL03,100,100,0,0,2022-06-21 15:19:00,2026-06-18 18:17:00,100,0,pre_test_review_available
灵悉L,3,3,0,0,2025-08-30 00:46:00,2026-05-10 17:14:00,3,0,pre_test_review_available
焕驰,54,54,0,0,2019-09-08 08:55:00,2025-11-25 09:46:00,54,0,pre_test_review_available
爱跑,1,1,0,0,2026-01-25 16:34:00,2026-01-25 16:34:00,1,0,pre_test_review_available
狮铂拓界,98,98,0,0,2022-10-30 15:33:00,2026-06-05 14:07:00,98,0,pre_test_review_available
猛士917,55,55,0,0,2023-08-31 20:26:00,2026-06-01 19:55:00,55,0,pre_test_review_available
理想MEGA,47,47,0,0,2023-11-11 15:30:00,2026-07-09 22:45:00,45,2,pre_test_review_available
瑞虎3x,100,100,0,0,2020-08-20 09:21:00,2026-07-05 11:44:00,99,1,pre_test_review_available
瑞虎5x,99,99,0,0,2020-11-30 22:01:00,2026-06-08 09:09:00,99,0,pre_test_review_available
瑞虎7,99,99,0,0,2021-01-05 21:42:00,2026-06-16 00:57:00,99,0,pre_test_review_available
瑞虎8,100,100,0,0,2020-11-23 18:05:00,2026-07-09 21:29:00,93,7,pre_test_review_available
瑞虎9,97,97,0,0,2023-06-26 23:23:00,2026-07-08 23:16:00,94,3,pre_test_review_available
瑞风E3,10,0,0,10,2024-03-23 00:00:00,2025-07-08 00:00:00,10,0,pre_test_review_available
瑞风M3,43,43,0,0,2020-03-17 20:37:00,2026-05-08 14:17:00,43,0,pre_test_review_available
瑞风RF8,12,12,0,0,2024-03-19 23:02:00,2026-03-28 18:01:00,12,0,pre_test_review_available
电动MINI ACEMAN,9,9,0,0,2024-12-21 23:37:00,2025-09-14 20:02:00,9,0,pre_test_review_available
电动MINI COOPER,24,24,0,0,2024-07-09 15:52:00,2026-07-07 21:16:00,23,1,pre_test_review_available
皇冠陆放,98,98,0,0,2021-09-14 09:44:00,2026-06-28 23:18:00,98,0,pre_test_review_available
