identity,review_id,series_name,publish_time,corpus_source,platform,content_source,rating_overall,platform_rating_overall,platform_rating_overall_sentiment,platform_rating_overall_polarity,platform_rating_appearance,platform_rating_appearance_sentiment,platform_rating_appearance_available,platform_rating_interior,platform_rating_interior_sentiment,platform_rating_interior_available,platform_rating_space,platform_rating_space_sentiment,platform_rating_space_available,platform_rating_power,platform_rating_power_sentiment,platform_rating_power_available,platform_rating_control,platform_rating_control_sentiment,platform_rating_control_available,platform_rating_comfort,platform_rating_comfort_sentiment,platform_rating_comfort_available,platform_rating_fuel_consumption,platform_rating_fuel_consumption_sentiment,platform_rating_fuel_consumption_available,platform_rating_configuration,platform_rating_configuration_sentiment,platform_rating_configuration_available,platform_rating_intelligence,platform_rating_intelligence_sentiment,platform_rating_intelligence_available,platform_rating_value,platform_rating_value_sentiment,platform_rating_value_available,text_global_positive_cues,text_global_negative_cues,text_global_polarity,text_appearance_mentioned,text_appearance_positive_cues,text_appearance_negative_cues,text_appearance_polarity,text_interior_mentioned,text_interior_positive_cues,text_interior_negative_cues,text_interior_polarity,text_space_mentioned,text_space_positive_cues,text_space_negative_cues,text_space_polarity,text_power_mentioned,text_power_positive_cues,text_power_negative_cues,text_power_polarity,text_control_mentioned,text_control_positive_cues,text_control_negative_cues,text_control_polarity,text_comfort_mentioned,text_comfort_positive_cues,text_comfort_negative_cues,text_comfort_polarity,text_fuel_consumption_mentioned,text_fuel_consumption_positive_cues,text_fuel_consumption_negative_cues,text_fuel_consumption_polarity,text_configuration_mentioned,text_configuration_positive_cues,text_configuration_negative_cues,text_configuration_polarity,text_intelligence_mentioned,text_intelligence_positive_cues,text_intelligence_negative_cues,text_intelligence_polarity,text_value_mentioned,text_value_positive_cues,text_value_negative_cues,text_value_polarity
dongchedi::7444473540125921305,7444473540125921305,AION RT,2024-12-04 17:00:00,historical_archive,dongchedi,,4.9,4.9,0.9500000000000002,1.0,5.0,1.0,1,5.0,1.0,1,5.0,1.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,5,15,-1,1,0,1,-1.0,1,1,0,1.0,1,0,1,-1.0,1,0,1,-1.0,1,1,0,1.0,0,0,0,,0,0,0,,1,0,1,-1.0,1,0,1,-1.0,1,0,0,0.0
dongchedi::7445949804263247897,7445949804263247897,AION RT,2024-12-08 17:21:00,historical_archive,dongchedi,,4.6,4.6,0.7999999999999998,1.0,5.0,1.0,1,5.0,1.0,1,5.0,1.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,7,4,1,1,1,1,0.0,1,1,0,1.0,1,1,1,0.0,0,0,0,,1,0,1,-1.0,0,0,0,,0,0,0,,1,1,0,1.0,1,1,2,-1.0,1,0,0,0.0
dongchedi::7446610102661943320,7446610102661943320,AION RT,2024-12-10 11:20:00,historical_archive,dongchedi,,3.8,3.8,0.3999999999999999,0.0,4.5,0.75,1,4.5,0.75,1,5.0,1.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,3,0,1,1,0,0,0.0,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,0,0.0,1,0,0,0.0,0,0,0,,0,0,0,
dongchedi::7446971112447021081,7446971112447021081,AION RT,2024-12-11 10:28:00,historical_archive,dongchedi,,4.5,4.5,0.75,1.0,5.0,1.0,1,5.0,1.0,1,5.0,1.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,11,7,1,1,1,1,0.0,1,2,1,1.0,1,1,1,0.0,0,0,0,,1,1,0,1.0,0,0,0,,1,2,1,1.0,0,0,0,,1,1,2,-1.0,0,0,0,
dongchedi::7447152323702296638,7447152323702296638,AION RT,2024-12-11 21:59:00,historical_archive,dongchedi,,4.8,4.8,0.8999999999999999,1.0,5.0,1.0,1,5.0,1.0,1,5.0,1.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,12,-1,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0,0,0,0,,1,0,0,0.0,1,0,1,-1.0,1,0,2,-1.0,1,0,0,0.0,1,0,2,-1.0,0,0,0,
dongchedi::7448073431473475609,7448073431473475609,AION RT,2024-12-14 09:45:00,historical_archive,dongchedi,,4.6,4.6,0.7999999999999998,1.0,4.5,0.75,1,5.0,1.0,1,5.0,1.0,1,,,0,,,0,,,0,,,0,5.0,1.0,1,,,0,,,0,9,29,-1,1,0,1,-1.0,1,2,1,1.0,1,0,0,0.0,0,0,0,,1,0,2,-1.0,1,2,0,1.0,1,2,4,-1.0,1,1,1,0.0,1,0,1,-1.0,1,2,1,1.0
dongchedi::7448163811292368921,7448163811292368921,AION RT,2024-12-14 15:21:00,historical_archive,dongchedi,,4.6,4.6,0.7999999999999998,1.0,5.0,1.0,1,4.5,0.75,1,4.5,0.75,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,5,3,1,1,1,1,0.0,0,0,0,,1,3,0,1.0,1,1,1,0.0,0,0,0,,1,2,1,1.0,1,0,2,-1.0,1,2,1,1.0,1,2,0,1.0,1,0,1,-1.0
dongchedi::7448268489816543257,7448268489816543257,AION RT,2024-12-14 23:08:00,historical_archive,dongchedi,,4.6,4.6,0.7999999999999998,1.0,5.0,1.0,1,4.5,0.75,1,4.5,0.75,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,9,0,1,1,2,0,1.0,1,3,0,1.0,1,1,0,1.0,0,0,0,,0,0,0,,1,4,0,1.0,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0,1,1,0,1.0
dongchedi::7450347157585924121,7450347157585924121,AION RT,2024-12-20 12:36:00,historical_archive,dongchedi,,4.2,4.2,0.6000000000000001,0.0,4.5,0.75,1,4.5,0.75,1,4.0,0.5,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,5,12,-1,1,0,1,-1.0,1,2,0,1.0,1,0,1,-1.0,0,0,0,,1,0,1,-1.0,1,1,0,1.0,1,0,3,-1.0,1,1,3,-1.0,1,0,2,-1.0,1,1,1,0.0
dongchedi::7451415935090429976,7451415935090429976,AION RT,2024-12-23 09:46:00,historical_archive,dongchedi,,4.7,4.7,0.8500000000000001,1.0,5.0,1.0,1,5.0,1.0,1,5.0,1.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,4,0,1,0,0,0,,0,0,0,,1,3,0,1.0,0,0,0,,0,0,0,,1,3,0,1.0,1,0,0,0.0,1,3,0,1.0,1,3,0,1.0,0,0,0,
dongchedi::7451526631467798553,7451526631467798553,AION RT,2024-12-23 16:49:00,historical_archive,dongchedi,,3.7,3.7,0.3500000000000001,0.0,4.5,0.75,1,4.5,0.75,1,3.5,0.25,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,7,2,1,1,1,0,1.0,1,1,0,1.0,0,0,0,,1,1,0,1.0,0,0,0,,1,1,0,1.0,1,1,1,0.0,1,2,0,1.0,1,1,0,1.0,0,0,0,
dongchedi::7452595655085674520,7452595655085674520,AION RT,2024-12-26 13:57:00,historical_archive,dongchedi,,4.4,4.4,0.7000000000000002,0.0,4.0,0.5,1,4.5,0.75,1,4.5,0.75,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,5,0,1,1,3,0,1.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,1,0,1.0,0,0,0,,1,1,0,1.0,0,0,0,
dongchedi::7452600174347571262,7452600174347571262,AION RT,2024-12-26 14:16:00,historical_archive,dongchedi,,4.4,4.4,0.7000000000000002,0.0,5.0,1.0,1,5.0,1.0,1,4.5,0.75,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,2,0,1,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,2,0,1.0,1,2,0,1.0,1,2,0,1.0,0,0,0,,0,0,0,,0,0,0,
dongchedi::7454043234637975577,7454043234637975577,AION RT,2024-12-30 11:35:00,historical_archive,dongchedi,,4.5,4.5,0.75,1.0,4.5,0.75,1,4.5,0.75,1,4.5,0.75,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,6,14,-1,0,0,0,,1,2,4,-1.0,0,0,0,,1,0,1,-1.0,1,1,1,0.0,1,1,2,-1.0,1,0,5,-1.0,1,1,0,1.0,1,2,4,-1.0,0,0,0,
dongchedi::7454206697163198489,7454206697163198489,AION RT,2024-12-30 22:09:00,historical_archive,dongchedi,,4.8,4.8,0.8999999999999999,1.0,5.0,1.0,1,5.0,1.0,1,5.0,1.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,5,0,1,1,2,0,1.0,1,2,0,1.0,1,0,0,0.0,1,0,0,0.0,0,0,0,,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0
dongchedi::7454422019573043225,7454422019573043225,AION RT,2024-12-31 12:11:00,historical_archive,dongchedi,,4.7,4.7,0.8500000000000001,1.0,5.0,1.0,1,5.0,1.0,1,5.0,1.0,1,,,0,,,0,,,0,,,0,,,0,,,0,,,0,1,5,-1,0,0,0,,1,1,4,-1.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,1,-1.0,0,0,0,,1,0,0,0.0,0,0,0,
dongchedi::7469365999217692696,7469365999217692696,AION RT,2025-02-09 18:50:00,historical_archive,dongchedi,,4.5,4.5,0.75,1.0,4.5,0.75,1,4.5,0.75,1,4.5,0.75,1,,,0,,,0,,,0,,,0,4.5,0.75,1,,,0,,,0,9,2,1,1,4,2,1.0,1,1,2,-1.0,1,3,0,1.0,0,0,0,,1,3,0,1.0,1,6,0,1.0,1,5,0,1.0,1,6,0,1.0,0,0,0,,1,3,0,1.0
dongchedi::7473752349022900248,7473752349022900248,AION RT,2025-02-21 14:16:00,historical_archive,dongchedi,,3.9,3.9,0.44999999999999996,0.0,3.5,0.25,1,4.5,0.75,1,3.5,0.25,1,3.5,0.25,1,4.0,0.5,1,3.5,0.25,1,,,0,5.0,1.0,1,,,0,,,0,2,1,1,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0,1,2,1,1.0,1,2,1,1.0,0,0,0,,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0
dongchedi::7487912061024866329,7487912061024866329,AION RT,2025-04-01 09:22:00,historical_archive,dongchedi,,4.7,4.7,0.8500000000000001,1.0,5.0,1.0,1,5.0,1.0,1,5.0,1.0,1,,,0,,,0,,,0,,,0,5.0,1.0,1,,,0,,,0,4,0,1,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0,0,0,0,,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0,0,0,0,,1,0,0,0.0
dongchedi::7491438597946495001,7491438597946495001,AION RT,2025-04-10 06:14:00,historical_archive,dongchedi,,3.6,3.6,0.30000000000000004,0.0,4.0,0.5,1,3.0,0.0,1,4.0,0.5,1,,,0,,,0,,,0,,,0,3.5,0.25,1,,,0,,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0,
dongchedi::7493421366155169817,7493421366155169817,AION RT,2025-04-15 14:38:00,historical_archive,dongchedi,,4.5,4.5,0.75,1.0,5.0,1.0,1,5.0,1.0,1,5.0,1.0,1,,,0,,,0,,,0,,,0,4.0,0.5,1,,,0,,,0,6,1,1,1,2,0,1.0,1,2,0,1.0,0,0,0,,1,1,0,1.0,1,1,0,1.0,0,0,0,,0,0,0,,1,0,1,-1.0,1,0,1,-1.0,0,0,0,
dongchedi::7495606915125219352,7495606915125219352,AION RT,2025-04-21 11:43:00,historical_archive,dongchedi,,4.1,4.1,0.5499999999999998,0.0,4.0,0.5,1,5.0,1.0,1,5.0,1.0,1,,,0,,,0,,,0,,,0,3.5,0.25,1,,,0,,,0,7,15,-1,1,2,1,1.0,1,1,0,1.0,1,0,1,-1.0,1,0,1,-1.0,1,0,3,-1.0,1,0,2,-1.0,0,0,0,,1,0,4,-1.0,1,0,1,-1.0,0,0,0,
dongchedi::7496484527083114520,7496484527083114520,AION RT,2025-04-23 20:28:00,historical_archive,dongchedi,,4.4,4.4,0.7000000000000002,0.0,5.0,1.0,1,4.0,0.5,1,5.0,1.0,1,,,0,,,0,,,0,,,0,3.5,0.25,1,,,0,,,0,3,1,1,1,0,0,0.0,1,2,0,1.0,1,2,0,1.0,1,0,0,0.0,0,0,0,,1,2,0,1.0,1,0,1,-1.0,1,1,0,1.0,1,1,0,1.0,1,0,0,0.0
dongchedi::7497823389713715224,7497823389713715224,AION RT,2025-04-27 11:04:00,historical_archive,dongchedi,,3.7,3.7,0.3500000000000001,0.0,4.0,0.5,1,4.0,0.5,1,3.0,0.0,1,4.0,0.5,1,3.5,0.25,1,4.0,0.5,1,,,0,3.5,0.25,1,,,0,,,0,9,0,1,1,1,0,1.0,1,1,0,1.0,1,1,0,1.0,1,5,0,1.0,1,4,0,1.0,1,5,0,1.0,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0,
dongchedi::7507774725318266905,7507774725318266905,AION RT,2025-05-24 06:56:00,historical_archive,dongchedi,,4.8,4.8,0.8999999999999999,1.0,5.0,1.0,1,5.0,1.0,1,5.0,1.0,1,,,0,,,0,,,0,,,0,4.5,0.75,1,,,0,,,0,5,7,-1,1,0,0,0.0,0,0,0,,1,0,1,-1.0,1,0,1,-1.0,0,0,0,,1,2,1,1.0,1,1,0,1.0,0,0,0,,1,2,1,1.0,1,1,1,0.0
dongchedi::7518935507124899902,7518935507124899902,AION RT,2025-06-23 09:18:00,historical_archive,dongchedi,,4.5,4.5,0.75,1.0,4.5,0.75,1,4.5,0.75,1,4.5,0.75,1,,,0,,,0,,,0,,,0,4.5,0.75,1,,,0,,,0,3,1,1,0,0,0,,0,0,0,,1,2,0,1.0,1,2,0,1.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,2,0,1.0
dongchedi::7521542004375834686,7521542004375834686,AION RT,2025-06-30 09:06:00,historical_archive,dongchedi,,4.7,4.7,0.8500000000000001,1.0,5.0,1.0,1,5.0,1.0,1,5.0,1.0,1,,,0,,,0,,,0,,,0,4.5,0.75,1,,,0,,,0,3,1,1,1,1,0,1.0,1,0,0,0.0,1,0,0,0.0,1,1,0,1.0,1,0,0,0.0,1,0,0,0.0,0,0,0,,0,0,0,,1,1,1,0.0,0,0,0,
dongchedi::7524151441011789886,7524151441011789886,AION RT,2025-07-10 09:54:00,historical_archive,dongchedi,,4.5,4.5,0.75,1.0,4.5,0.75,1,4.5,0.75,1,4.5,0.75,1,,,0,,,0,,,0,,,0,4.5,0.75,1,,,0,,,0,1,0,1,0,0,0,,0,0,0,,1,1,0,1.0,0,0,0,,0,0,0,,0,0,0,,1,1,0,1.0,0,0,0,,0,0,0,,0,0,0,
dongchedi::7527488020400836633,7527488020400836633,AION RT,2025-07-16 09:39:00,historical_archive,dongchedi,,3.8,3.8,0.3999999999999999,0.0,4.0,0.5,1,3.5,0.25,1,5.0,1.0,1,,,0,,,0,,,0,,,0,3.5,0.25,1,,,0,,,0,1,0,1,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0,1,1,0,1.0,0,0,0,
dongchedi::7552960871807340568,7552960871807340568,AION RT,2025-09-23 01:05:00,historical_archive,dongchedi,,5.0,5.0,1.0,1.0,5.0,1.0,1,5.0,1.0,1,5.0,1.0,1,,,0,,,0,,,0,,,0,5.0,1.0,1,,,0,,,0,2,1,1,1,2,1,1.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,2,1,1.0,0,0,0,,1,2,1,1.0,0,0,0,,0,0,0,
dongchedi::7561377163396534296,7561377163396534296,AION RT,2025-10-15 17:26:00,historical_archive,dongchedi,,4.5,4.5,0.75,1.0,4.5,0.75,1,4.5,0.75,1,5.0,1.0,1,,,0,,,0,,,0,,,0,5.0,1.0,1,,,0,,,0,2,1,1,0,0,0,,1,2,1,1.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,2,1,1.0,1,2,1,1.0,1,2,1,1.0,1,2,1,1.0
dongchedi::7562441744332099609,7562441744332099609,AION RT,2025-10-18 14:16:00,historical_archive,dongchedi,,4.2,4.2,0.6000000000000001,0.0,5.0,1.0,1,3.5,0.25,1,3.5,0.25,1,,,0,,,0,,,0,,,0,4.5,0.75,1,,,0,,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,0,0,0.0,1,0,0,0.0,1,0,0,0.0,0,0,0,,1,0,0,0.0,1,0,0,0.0
dongchedi::7564074675689508926,7564074675689508926,AION RT,2025-10-22 23:57:00,historical_archive,dongchedi,,3.1,3.1,0.050000000000000044,-1.0,3.0,0.0,1,3.0,0.0,1,5.0,1.0,1,,,0,,,0,,,0,,,0,3.0,0.0,1,,,0,,,0,0,0,0,0,0,0,,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0,,1,0,0,0.0,0,0,0,,1,0,0,0.0,0,0,0,,0,0,0,
dongchedi::7570654927588970520,7570654927588970520,AION RT,2025-11-09 17:34:00,historical_archive,dongchedi,,4.2,4.2,0.6000000000000001,0.0,5.0,1.0,1,3.0,0.0,1,4.0,0.5,1,,,0,,,0,,,0,,,0,5.0,1.0,1,,,0,,,0,0,2,-1,0,0,0,,0,0,0,,1,0,0,0.0,0,0,0,,0,0,0,,1,0,2,-1.0,1,0,0,0.0,0,0,0,,1,0,0,0.0,0,0,0,
dongchedi::7571377210368479257,7571377210368479257,AION RT,2025-11-11 16:15:00,historical_archive,dongchedi,,4.1,4.1,0.5499999999999998,0.0,4.5,0.75,1,4.0,0.5,1,4.0,0.5,1,,,0,,,0,,,0,,,0,4.0,0.5,1,,,0,,,0,1,0,1,0,0,0,,0,0,0,,1,1,0,1.0,0,0,0,,0,0,0,,0,0,0,,1,1,0,1.0,0,0,0,,1,1,0,1.0,0,0,0,
dongchedi::7573332317859483710,7573332317859483710,AION RT,2025-11-16 22:41:00,historical_archive,dongchedi,,3.8,3.8,0.3999999999999999,0.0,5.0,1.0,1,4.5,0.75,1,4.5,0.75,1,,,0,,,0,,,0,,,0,4.0,0.5,1,,,0,,,0,3,2,1,0,0,0,,1,3,0,1.0,0,0,0,,0,0,0,,0,0,0,,1,3,0,1.0,1,3,1,1.0,1,0,1,-1.0,1,3,0,1.0,0,0,0,
dongchedi::7579621212570013720,7579621212570013720,AION RT,2025-12-03 21:23:00,historical_archive,dongchedi,,4.2,4.2,0.6000000000000001,0.0,4.5,0.75,1,3.0,0.0,1,5.0,1.0,1,,,0,,,0,,,0,,,0,4.0,0.5,1,,,0,,,0,0,2,-1,0,0,0,,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
dongchedi::7581777325243519038,7581777325243519038,AION RT,2025-12-09 16:51:00,historical_archive,dongchedi,,3.5,3.5,0.25,0.0,3.5,0.25,1,4.0,0.5,1,3.5,0.25,1,,,0,,,0,,,0,,,0,3.0,0.0,1,,,0,,,0,1,0,1,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,1,0,1.0,0,0,0,,0,0,0,,0,0,0,
dongchedi::7582414077280931902,7582414077280931902,AION RT,2025-12-11 10:09:00,historical_archive,dongchedi,,5.0,5.0,1.0,1.0,5.0,1.0,1,5.0,1.0,1,5.0,1.0,1,,,0,,,0,,,0,,,0,5.0,1.0,1,,,0,,,0,0,0,0,0,0,0,,0,0,0,,1,0,0,0.0,0,0,0,,0,0,0,,1,0,0,0.0,0,0,0,,1,0,0,0.0,0,0,0,,0,0,0,
dongchedi::7583491343524057150,7583491343524057150,AION RT,2025-12-14 07:49:00,historical_archive,dongchedi,,4.1,4.1,0.5499999999999998,0.0,5.0,1.0,1,5.0,1.0,1,2.0,-0.5,1,,,0,,,0,,,0,,,0,5.0,1.0,1,,,0,,,0,2,1,1,0,0,0,,0,0,0,,1,2,1,1.0,0,0,0,,0,0,0,,0,0,0,,1,2,1,1.0,0,0,0,,0,0,0,,0,0,0,
dongchedi::7583556498085662744,7583556498085662744,AION RT,2025-12-14 11:52:00,historical_archive,dongchedi,,3.4,3.4,0.19999999999999996,-1.0,3.5,0.25,1,4.5,0.75,1,4.0,0.5,1,,,0,,,0,,,0,,,0,4.0,0.5,1,,,0,,,0,1,0,1,0,0,0,,1,1,0,1.0,1,1,0,1.0,0,0,0,,0,0,0,,0,0,0,,1,1,0,1.0,0,0,0,,0,0,0,,1,1,0,1.0
dongchedi::7583767405768232984,7583767405768232984,AION RT,2025-12-15 01:30:00,historical_archive,dongchedi,,4.3,4.3,0.6499999999999999,0.0,4.0,0.5,1,5.0,1.0,1,4.0,0.5,1,,,0,,,0,,,0,,,0,4.0,0.5,1,,,0,,,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,
