series_name,reviews_available_before_2026_01,reviews_available_before_2026_02,reviews_available_before_2026_03,reviews_available_before_2026_04,reviews_available_before_2026_05,reviews_available_before_2026_06
奥迪Q3,90,91,96,96,96,98
奥迪Q3 Sportback,96,96,96,97,97,99
奥迪Q4 e-tron,94,95,95,96,97,98
奥迪Q5 e-tron,78,78,78,79,79,80
奥迪Q5L,82,82,83,83,85,86
奥迪Q5L Sportback,95,95,96,98,99,99
奥迪Q6L Sportback e-tron,12,15,16,16,16,16
奥迪Q6L e-tron,36,43,45,48,51,52
威兰达,97,98,98,98,98,98
威朗,100,100,100,100,100,100
威然,167,168,169,171,175,176
威霆,38,38,38,39,39,39
威飒,98,98,98,98,98,99
宋L EV,93,94,95,97,97,98
宋PLUS新能源,10,17,18,19,20,20
宋Pro新能源,1,1,1,1,1,1
宏光MINIEV,18,18,18,18,18,18
宝来,182,182,184,186,189,194
宝马1系,10,10,10,10,10,10
宝马2系,11,12,14,19,22,23
宝马3系,96,99,99,99,100,100
宝马5系,98,99,100,100,100,100
宝马X1,77,78,82,86,91,94
宝马X2,9,9,10,10,10,10
宝马X3,87,90,91,91,91,91
宝马X5,62,71,76,80,86,93
宝马i3,84,87,87,90,93,96
宝马i5,30,33,33,37,37,38
宝马iX1,44,46,46,47,47,48
宝马iX3,9,9,9,9,10,10
宝骏KiWi EV,10,10,10,10,10,10
小米SU7,3,3,3,5,14,28
小虎FEV,5,5,5,5,5,5
小鹏G3,9,9,9,9,9,9
小鹏MONA M03,0,0,0,0,0,0
小鹏P5,10,10,10,10,10,10
小鹏P7,1,1,1,1,5,9
小鹏P7+,17,17,17,18,23,27
小鹏X9,16,16,17,19,23,24
岚图梦想家,0,0,0,0,0,0
岚图追光L,8,10,10,10,12,14
帕萨特,117,125,138,158,168,178
帕萨特新能源,0,0,0,0,0,0
广汽本田P7,12,19,23,23,25,27
库斯途,74,76,80,86,89,95
影豹,79,83,85,89,91,94
微蓝6,96,99,99,99,99,99
思域,100,100,100,100,100,100
悦意03,41,44,47,50,55,58
悦意07,9,9,10,11,11,12
护卫舰07,10,10,10,10,10,10
捷豹XEL,3,10,10,10,10,10
捷豹XFL,75,81,86,96,96,98
捷达VA3,86,87,88,88,89,89
捷达VA7,16,18,18,18,18,18
探岳,172,174,176,179,184,188
探岳X,193,193,194,194,196,196
探界者,100,100,100,100,100,100
探险者,79,82,84,87,87,89
揽境,187,190,191,192,193,196
揽巡,161,165,171,177,179,189
摩卡,0,0,0,0,0,0
新帝豪,0,0,0,0,0,0
日产N6,16,36,48,63,74,77
日产N7,91,91,91,91,91,91
日产NX8,0,0,0,0,5,18
昂科威,97,97,97,97,97,97
昊铂GT,10,10,10,10,10,10
星海S7,25,27,31,32,35,36
星海T5,0,0,0,0,0,0
星海V9,33,33,33,33,34,34
星瑞,97,99,100,100,100,100
星瑞L,0,0,0,0,0,0
星越L,94,95,96,97,97,98
星越L 智擎,0,0,0,0,0,0
星途ES,92,93,94,94,96,96
普拉多,73,78,83,87,89,96
智己L6,86,89,89,92,92,95
智己L7,98,98,98,98,98,99
智跑,100,100,100,100,100,100
曹操60,6,7,8,8,8,8
朗逸,128,137,144,162,175,186
本田CR-V,72,73,75,76,82,82
本田HR-V,66,72,81,85,91,96
本田UR-V,99,99,99,100,100,100
本田XR-V,99,99,100,100,100,100
极氪001,16,16,16,16,16,16
极氪009,17,17,17,17,17,17
极狐 阿尔法S5,45,45,46,50,55,65
极狐考拉,10,10,10,10,10,10
林肯Z,69,74,78,85,92,96
枫叶60s,6,6,6,6,6,6
标致4008,92,94,97,97,97,98
标致408,96,96,96,96,96,96
标致408X,91,96,98,99,99,99
标致5008,92,95,95,95,95,96
标致508,1,2,3,4,7,10
格瑞维亚,65,70,75,82,87,93
欧拉好猫,71,74,78,80,86,91
欧拉闪电猫,100,100,100,100,100,100
欧诺S,32,32,33,34,35,35
比亚迪M9,1,1,3,3,3,3
比亚迪e7,24,25,26,26,27,28
比亚迪e9,9,10,10,10,10,10
汉,10,10,10,10,10,10
江淮A5 PLUS,9,9,9,9,9,10
江淮QX PHEV,10,10,10,10,10,10
沃兰多,9,9,9,9,9,9
沃尔沃C40,10,10,10,10,10,10
沃尔沃EM90,12,12,12,12,12,12
沃尔沃ES90,0,0,0,0,0,1
沃尔沃S60,100,100,100,100,100,100
沃尔沃S90,94,97,97,97,97,98
沃尔沃S90新能源,0,0,0,0,0,0
海狮05EV,63,65,70,74,75,85
海狮06EV,36,44,48,53,59,68
海狮07EV,84,87,89,90,92,93
海豚,86,90,92,94,96,97
海豹,95,95,95,98,98,99
海豹06DM-i,0,0,0,0,0,0
海豹06EV,61,69,74,74,80,82
海豹06GT,71,74,74,78,81,85
海豹07DM-i,2,9,9,9,9,9
海豹07EV,0,0,0,0,1,1
海马8S,10,10,10,10,10,10
海马INJOY,0,0,0,0,0,0
海鸥,81,86,89,92,94,95
深蓝L06,20,31,33,57,58,63
深蓝L07,74,82,85,88,94,95
深蓝SL03,97,97,97,98,99,99
灵悉L,2,2,2,2,2,3
焕驰,54,54,54,54,54,54
爱跑,0,1,1,1,1,1
狮铂拓界,77,80,84,90,93,96
猛士917,27,47,52,53,53,53
理想MEGA,35,36,39,40,41,45
瑞虎3x,93,96,97,98,98,98
瑞虎5x,84,88,91,96,97,98
瑞虎7,91,92,95,95,96,98
瑞虎8,67,69,70,71,74,81
瑞虎9,52,53,59,63,68,75
瑞风E3,10,10,10,10,10,10
瑞风M3,40,40,42,42,42,43
瑞风RF8,11,11,11,12,12,12
瑞风RF8新能源,0,0,0,0,0,0
电动MINI ACEMAN,9,9,9,9,9,9
电动MINI COOPER,20,21,21,21,21,23
皇冠陆放,65,71,76,84,88,92
皓影,79,85,87,89,92,96
皓影新能源,10,10,10,10,10,10
睿蓝8,1,1,1,1,1,1
福瑞迪,10,10,10,10,10,10
秦L,0,0,0,0,0,0
秦PLUS,15,15,15,15,15,15
秦新能源,9,9,9,9,9,10
索纳塔,99,99,99,99,99,99
红旗E-HS9,99,99,99,99,99,99
红旗E-QM5,86,90,91,91,92,96
红旗EH7,23,23,23,23,24,26
红旗H5,46,49,51,52,57,57
红旗H5 PHEV,36,40,41,42,44,48
红旗H6,59,63,68,79,84,89
红旗H9,96,96,96,97,99,99
红旗HQ9,25,26,26,26,26,27
红旗HS3,60,62,65,69,72,75
红旗HS3 PHEV,57,63,66,68,75,79
红旗HS5,97,97,97,97,97,97
红旗HS7 PHEV,19,21,23,24,25,25
红旗国耀,0,0,0,0,0,0
红旗天工05,22,27,29,31,32,34
红旗天工06,8,9,9,9,10,10
红旗天工08,11,13,15,15,17,18
纳米01,13,13,13,13,13,16
缤智,96,96,98,98,99,100
缤瑞,97,97,98,98,98,98
缤越,80,84,86,87,89,92
羿驰05,6,7,7,7,7,7
胜达,90,90,92,93,97,98
腾势D9,0,0,0,0,0,0
艾力绅,95,96,97,97,97,97
艾瑞泽5,90,93,95,97,97,98
艾瑞泽8,84,84,84,84,84,84
英仕派,89,90,90,91,94,95
荣威D5X DMH,35,37,39,39,40,40
荣威D6,87,88,88,88,88,89
荣威D7,9,9,9,9,9,9
荣威RX3,10,10,10,10,10,10
荣威i5,82,82,84,87,90,96
荣威i6 MAX新能源,10,10,10,10,10,10
荣威iMAX8,97,99,99,99,99,99
荣威iMAX8新能源,10,10,10,10,10,10
菱智,41,42,43,44,44,45
蒙迪欧,89,89,89,89,89,89
蔚来ET5,100,100,100,100,100,100
蔚来ET5T,84,86,88,93,95,99
蔚来ET7,99,99,99,99,99,99
蔚来ET9,10,10,11,11,13,13
豪越L,72,77,82,83,87,89
赛图斯,23,23,23,24,25,25
赛那SIENNA,9,9,9,9,9,9
起亚EV5,37,37,38,38,38,38
起亚K3,93,93,95,96,98,98
起亚K5凯酷,0,0,0,0,0,0
起亚KX3傲跑,10,10,10,10,10,10
轩度EV,0,0,0,0,0,0
轩逸,77,78,82,87,92,95
迈腾,101,113,124,148,165,179
迈腾PHEV,161,162,162,163,163,165
迈锐宝XL,10,10,10,10,10,10
逍客,82,85,85,88,91,93
途安,9,10,10,10,10,10
途岳,170,179,185,188,191,196
途昂,180,183,184,187,190,193
途胜L,0,0,0,0,0,0
途观L,134,138,151,163,176,188
途观L新能源,0,0,0,0,0,0
速腾,150,150,154,164,168,180
逸动,95,95,96,96,96,96
钇为3,54,56,56,57,58,58
铂智3X,62,66,70,73,76,78
铂智4X,6,6,6,6,6,6
铂智7,0,0,0,0,5,16
银河E8,81,86,89,89,93,98
银河V900,0,0,2,3,3,4
银河星耀6,38,40,42,46,54,59
银河星耀7,0,0,0,0,0,1
锋兰达,20,28,39,52,68,81
锐界L,0,0,0,0,0,0
锐程PLUS,100,100,100,100,100,100
锐际,92,93,94,94,95,97
长安CS75 PLUS,94,94,94,94,94,94
长安Lumin,87,90,90,91,92,93
长安UNI-K,96,96,96,96,96,97
长安UNI-K 智电iDD,100,100,100,100,100,100
长安UNI-T,99,99,99,99,99,99
长安UNI-V,95,95,96,96,96,96
长安UNI-Z新能源,0,0,0,0,0,0
长安X5 PLUS,58,65,69,75,81,87
长安启源A07,85,86,86,87,90,93
长安启源Q05经典,0,0,0,0,0,0
长安欧尚520,0,0,0,0,0,0
雅阁,100,100,100,100,100,100
零跑B01,74,75,78,82,84,88
零跑Lafa5,19,36,52,61,64,80
零跑T03,91,95,95,97,98,99
雷凌,100,100,100,100,100,100
领克03,100,100,100,100,100,100
领克07,0,0,0,0,0,0
领克10,0,0,0,0,0,0
风云A9L,64,67,69,69,69,69
风光330,0,0,0,0,0,0
风光380,0,0,0,0,0,0
风光E380,0,0,0,0,0,0
飞凡F7,99,99,99,99,99,99
马自达3 昂克赛拉,99,99,99,99,100,100
马自达EZ-6,96,97,97,98,98,98
驱逐舰05,97,99,100,100,100,100
骐达,0,0,0,0,0,0
高尔夫,195,196,196,198,198,198
高尔夫GTI,24,26,31,38,41,52
魏牌 高山,0,0,0,0,0,0
