series_name,brand,category,information_cutoff_inclusive,window_days,current_window_start,previous_window_start,current_reviews,previous_reviews,current_overall_score,previous_overall_score,score_change,current_negative_review_rate,current_rating_reviews,previous_rating_reviews,current_platform_rating,previous_platform_rating,platform_rating_change,eligible_for_alert,text_alert_candidate,text_rule_retrigger_probability,rating_decline_probability,alert_status,alert
AION RT,埃安,轿车,2025-11-30,180,2025-06-04,2024-12-06,11,24,0.31536796536796535,0.5560515873015873,-0.24068362193362197,0.18181818181818182,11,24,4.218181818181818,4.379166666666666,-0.16098484848484862,True,False,,,none,False
AION RT,埃安,轿车,2025-12-31,180,2025-07-05,2025-01-06,19,11,-0.03421052631578947,0.5564574314574314,-0.5906679577732209,0.3684210526315789,19,11,4.031578947368422,4.3090909090909095,-0.27751196172248793,True,False,,,none,False
AION RT,埃安,轿车,2026-01-31,180,2025-08-05,2025-02-06,24,13,-0.02708333333333332,0.5477716727716727,-0.5748550061050061,0.375,24,13,3.8791666666666664,4.2846153846153845,-0.40544871794871806,True,False,,,none,False
AION RT,埃安,轿车,2026-02-28,180,2025-09-02,2025-03-06,31,11,0.02096774193548388,0.5185786435786436,-0.4976109016431597,0.3548387096774194,31,11,3.8935483870967738,4.3,-0.40645161290322607,True,False,,,none,False
AION RT,埃安,轿车,2026-03-31,180,2025-10-03,2025-04-06,32,11,0.05156250000000001,0.5185786435786436,-0.46701614357864357,0.34375,32,11,3.9124999999999996,4.327272727272727,-0.4147727272727275,True,False,,,none,False
AION RT,埃安,轿车,2026-04-30,180,2025-11-02,2025-05-06,36,9,0.11342592592592594,0.45185185185185195,-0.338425925925926,0.3055555555555556,36,9,4.013888888888889,4.344444444444445,-0.3305555555555557,True,False,,,none,False
AION RT,埃安,轿车,2026-05-31,180,2025-12-03,2025-06-06,39,11,0.14444444444444446,0.31536796536796535,-0.1709235209235209,0.28205128205128205,39,11,4.012820512820512,4.218181818181818,-0.20536130536130592,True,False,,,none,False
AION RT,埃安,轿车,2026-06-30,180,2026-01-02,2025-07-06,33,19,0.32727272727272727,-0.03421052631578947,0.36148325358851674,0.18181818181818182,33,19,4.090909090909091,4.031578947368422,0.05933014354066923,True,False,,,none,False
AION RT,埃安,轿车,2026-07-31,180,2026-02-02,2025-08-06,28,24,0.4214285714285714,-0.02708333333333332,0.4485119047619047,0.14285714285714285,28,24,4.285714285714286,3.8791666666666664,0.40654761904761916,True,False,,,none,False
AION S,埃安,轿车,2022-01-31,180,2021-08-05,2021-02-06,14,4,0.5575113378684808,0.7452380952380953,-0.18772675736961442,0.07142857142857142,14,4,4.085714285714286,3.8,0.2857142857142865,False,False,,,none,False
AION S,埃安,轿车,2022-02-28,180,2021-09-02,2021-03-06,17,5,0.5021241830065359,0.72,-0.21787581699346403,0.11764705882352941,17,5,4.111764705882353,3.7,0.41176470588235325,True,False,,,none,False
AION S,埃安,轿车,2022-03-31,180,2021-10-03,2021-04-06,13,9,0.43684371184371185,0.7174603174603176,-0.28061660561660573,0.15384615384615385,13,9,4.076923076923077,3.933333333333333,0.14358974358974352,True,False,,,none,False
AION S,埃安,轿车,2022-04-30,180,2021-11-02,2021-05-06,14,10,0.380640589569161,0.6957142857142858,-0.3150736961451248,0.21428571428571427,14,10,4.085714285714285,3.9299999999999997,0.1557142857142857,True,False,,,none,False
AION S,埃安,轿车,2022-05-31,180,2021-12-03,2021-06-06,17,13,0.36855742296918764,0.748840048840049,-0.3802826258708613,0.17647058823529413,17,13,4.152941176470588,3.9923076923076923,0.16063348416289536,True,False,,,none,False
AION S,埃安,轿车,2022-06-30,180,2022-01-02,2021-07-06,16,12,0.4415922619047619,0.6072751322751323,-0.16568287037037038,0.125,16,12,4.15,4.116666666666667,0.033333333333333215,True,False,,,none,False
AION S,埃安,轿车,2022-07-31,180,2022-02-02,2021-08-06,15,13,0.47354497354497344,0.5784188034188035,-0.10487382987383004,0.13333333333333333,15,13,4.2,4.092307692307693,0.10769230769230731,True,False,,,none,False
AION S,埃安,轿车,2022-08-31,180,2022-03-05,2021-09-06,10,17,0.5086507936507936,0.5021241830065359,0.0065266106442576355,0.1,10,17,4.25,4.111764705882353,0.13823529411764657,True,False,,,none,False
AION S,埃安,轿车,2022-09-30,180,2022-04-04,2021-10-06,9,14,0.5929453262786597,0.38778344671201814,0.20516187956664156,0.0,9,14,4.2555555555555555,4.085714285714285,0.16984126984127013,True,False,,,none,False
AION S,埃安,轿车,2022-10-31,180,2022-05-05,2021-11-06,9,13,0.4929453262786596,0.3500915750915751,0.1428537511870845,0.1111111111111111,9,13,4.166666666666668,4.092307692307692,0.07435897435897587,True,False,,,none,False
AION S,埃安,轿车,2022-11-30,180,2022-06-04,2021-12-06,4,16,0.3305555555555556,0.3790922619047619,-0.048536706349206316,0.25,4,16,3.85,4.15625,-0.3062499999999999,False,False,,,none,False
AION S,埃安,轿车,2022-12-31,180,2022-07-05,2022-01-06,4,16,0.03888888888888889,0.4415922619047619,-0.402703373015873,0.5,4,16,3.5250000000000004,4.15,-0.625,False,False,,,none,False
AION S,埃安,轿车,2023-01-31,180,2022-08-05,2022-02-06,8,14,-0.0369047619047619,0.5073696145124715,-0.5442743764172334,0.5,8,14,3.9749999999999996,4.192857142857143,-0.21785714285714342,True,False,,,none,False
AION S,埃安,轿车,2023-02-28,180,2022-09-02,2022-03-06,9,10,-0.02045855379188712,0.5086507936507936,-0.5291093474426807,0.4444444444444444,9,10,3.933333333333333,4.25,-0.3166666666666669,True,False,,,none,False
AION S,埃安,轿车,2023-03-31,180,2022-10-03,2022-04-06,14,9,-0.0667233560090703,0.5929453262786597,-0.65966868228773,0.5,14,9,3.9285714285714284,4.2555555555555555,-0.32698412698412715,True,False,,,none,False
AION S,埃安,轿车,2023-04-30,180,2022-11-02,2022-05-06,14,9,-0.007199546485260769,0.4929453262786596,-0.5001448727639204,0.42857142857142855,14,9,3.978571428571428,4.166666666666668,-0.18809523809523965,True,False,,,none,False
AION S,埃安,轿车,2023-05-31,180,2022-12-03,2022-06-06,16,4,-0.03129960317460318,0.3305555555555556,-0.3618551587301588,0.4375,16,4,3.93125,3.85,0.08124999999999982,False,False,,,none,False
AION S,埃安,轿车,2023-06-30,180,2023-01-02,2022-07-06,19,4,0.09718045112781955,0.03888888888888889,0.05829156223893066,0.3684210526315789,19,4,4.089473684210527,3.5250000000000004,0.5644736842105269,False,False,,,none,False
AION S,埃安,轿车,2023-07-31,180,2023-02-02,2022-08-06,16,8,0.16421130952380952,-0.0369047619047619,0.2011160714285714,0.3125,16,8,4.05,3.9749999999999996,0.07500000000000018,True,False,,,none,False
AION S,埃安,轿车,2023-08-31,180,2023-03-05,2022-09-06,17,9,0.1937675070028011,-0.02045855379188712,0.21422606079468823,0.29411764705882354,17,9,4.158823529411765,3.933333333333333,0.2254901960784319,True,False,,,none,False
AION S,埃安,轿车,2023-09-30,180,2023-04-04,2022-10-06,12,14,0.3370039682539683,-0.0667233560090703,0.4037273242630386,0.16666666666666666,12,14,4.258333333333333,3.9285714285714284,0.3297619047619045,True,False,,,none,False
AION S,埃安,轿车,2023-10-31,180,2023-05-05,2022-11-06,13,14,0.38708791208791204,-0.007199546485260769,0.3942874585731728,0.15384615384615385,13,14,4.276923076923077,3.978571428571428,0.2983516483516486,True,False,,,none,False
AION S,埃安,轿车,2023-11-30,180,2023-06-04,2022-12-06,9,17,0.5554232804232804,-0.0392623716153128,0.5946856520385931,0.0,9,17,4.488888888888889,3.9411764705882355,0.5477124183006534,True,False,,,none,False
AION S,埃安,轿车,2023-12-31,180,2023-07-05,2023-01-06,7,19,0.4621315192743764,0.09718045112781955,0.36495106814655687,0.0,7,19,4.442857142857143,4.089473684210527,0.3533834586466158,True,False,,,none,False
AION S,埃安,轿车,2024-01-31,180,2023-08-05,2023-02-06,11,17,0.07417027417027416,0.2003034547152194,-0.12613318054494524,0.36363636363636365,11,17,3.9909090909090916,4.08235294117647,-0.09144385026737867,True,False,,,none,False
AION S,埃安,轿车,2024-02-29,180,2023-09-03,2023-03-07,12,17,0.10502645502645502,0.1937675070028011,-0.08874105197634607,0.3333333333333333,12,17,3.9166666666666665,4.158823529411765,-0.2421568627450985,True,False,,,none,False
AION S,埃安,轿车,2024-03-31,180,2023-10-04,2023-04-07,13,12,0.020024420024420023,0.3370039682539683,-0.31697954822954827,0.38461538461538464,13,12,3.9153846153846152,4.258333333333333,-0.3429487179487176,True,False,,,none,False
AION S,埃安,轿车,2024-04-30,180,2023-11-03,2023-05-07,12,13,-0.04675925925925926,0.38708791208791204,-0.4338471713471713,0.4166666666666667,12,13,3.908333333333333,4.276923076923077,-0.3685897435897436,True,False,,,none,False
AION S,埃安,轿车,2024-05-31,180,2023-12-04,2023-06-07,14,9,-0.11150793650793651,0.5554232804232804,-0.6669312169312169,0.42857142857142855,14,9,3.95,4.488888888888889,-0.5388888888888888,True,True,0.4196666666666667,0.998,watchlist,False
AION S,埃安,轿车,2024-06-30,180,2024-01-03,2023-07-07,15,6,-0.17629629629629628,0.43915343915343913,-0.6154497354497355,0.5333333333333333,15,6,3.986666666666667,4.366666666666667,-0.38000000000000034,True,True,0.6166666666666667,0.9763333333333334,watchlist,False
AION S,埃安,轿车,2024-07-31,180,2024-02-03,2023-08-07,10,11,-0.08555555555555555,0.07417027417027416,-0.15972582972582972,0.4,10,11,4.050000000000001,3.9909090909090916,0.05909090909090908,True,False,,,none,False
AION S,埃安,轿车,2024-08-31,180,2024-03-05,2023-09-07,8,12,-0.16249999999999998,0.10502645502645502,-0.267526455026455,0.5,8,12,4.0625,3.9166666666666665,0.14583333333333348,True,True,0.43866666666666665,0.215,watchlist,False
AION S,埃安,轿车,2024-09-30,180,2024-04-04,2023-10-07,7,13,-0.04285714285714285,0.020024420024420023,-0.06288156288156288,0.42857142857142855,7,13,4.085714285714285,3.9153846153846152,0.17032967032967017,True,False,,,none,False
AION S,埃安,轿车,2024-10-31,180,2024-05-05,2023-11-07,7,12,-0.11428571428571428,-0.04675925925925926,-0.06752645502645502,0.42857142857142855,7,12,3.8857142857142857,3.908333333333333,-0.02261904761904754,True,False,,,none,False
AION S,埃安,轿车,2024-11-30,180,2024-06-04,2023-12-07,5,14,0.040000000000000015,-0.11150793650793651,0.15150793650793654,0.4,5,14,3.7599999999999993,3.95,-0.19000000000000083,True,False,,,none,False
AION S,埃安,轿车,2024-12-31,180,2024-07-05,2024-01-07,4,15,0.4083333333333333,-0.17629629629629628,0.5846296296296296,0.0,4,15,3.625,3.986666666666667,-0.3616666666666668,False,False,,,none,False
AION S,埃安,轿车,2025-01-31,180,2024-08-05,2024-02-07,2,9,0.3,-0.14444444444444443,0.4444444444444444,0.0,2,9,3.5999999999999996,4.011111111111111,-0.4111111111111114,False,False,,,none,False
AION S,埃安,轿车,2025-02-28,180,2024-09-02,2024-03-06,2,8,0.3,-0.16249999999999998,0.46249999999999997,0.0,2,8,3.5999999999999996,4.0625,-0.46250000000000036,False,False,,,none,False
AION S,埃安,轿车,2025-03-31,180,2024-10-03,2024-04-06,2,7,0.3,-0.04285714285714285,0.34285714285714286,0.0,2,7,3.5999999999999996,4.085714285714285,-0.48571428571428577,False,False,,,none,False
AION S,埃安,轿车,2025-04-30,180,2024-11-02,2024-05-06,1,7,0.6,-0.11428571428571428,0.7142857142857143,0.0,1,7,4.3,3.8857142857142857,0.41428571428571415,False,False,,,none,False
AION S,埃安,轿车,2025-05-31,180,2024-12-03,2024-06-06,1,5,0.6,0.040000000000000015,0.5599999999999999,0.0,1,5,4.3,3.7599999999999993,0.5400000000000005,False,False,,,none,False
AION S,埃安,轿车,2025-06-30,180,2025-01-02,2024-07-06,1,4,0.0,0.4083333333333333,-0.4083333333333333,0.0,1,4,2.8,3.625,-0.8250000000000002,False,False,,,none,False
AION S,埃安,轿车,2025-07-31,180,2025-02-02,2024-08-06,3,2,-0.2222222222222222,0.3,-0.5222222222222221,0.3333333333333333,3,2,3.466666666666667,3.5999999999999996,-0.13333333333333286,False,False,,,none,False
AION S,埃安,轿车,2025-08-31,180,2025-03-05,2024-09-06,5,2,-0.1333333333333333,0.3,-0.4333333333333333,0.4,5,2,3.5799999999999996,3.5999999999999996,-0.020000000000000018,False,False,,,none,False
AION S,埃安,轿车,2025-09-30,180,2025-04-04,2024-10-06,6,2,-0.22222222222222218,0.3,-0.5222222222222221,0.5,6,2,3.6666666666666665,3.5999999999999996,0.06666666666666687,False,False,,,none,False
AION S,埃安,轿车,2025-10-31,180,2025-05-05,2024-11-06,9,1,-0.18518518518518515,0.6,-0.7851851851851851,0.4444444444444444,9,1,3.7222222222222223,4.3,-0.5777777777777775,False,False,,,none,False
AION S,埃安,轿车,2025-11-30,180,2025-06-04,2024-12-06,9,1,-0.18518518518518515,0.6,-0.7851851851851851,0.4444444444444444,9,1,3.7222222222222223,4.3,-0.5777777777777775,False,False,,,none,False
AION S,埃安,轿车,2025-12-31,180,2025-07-05,2025-01-06,9,1,-0.2962962962962963,0.0,-0.2962962962962963,0.5555555555555556,9,1,3.811111111111112,2.8,1.011111111111112,False,False,,,none,False
AION S,埃安,轿车,2026-01-31,180,2025-08-05,2025-02-06,11,4,0.15151515151515152,-0.41666666666666663,0.5681818181818181,0.36363636363636365,11,4,4.118181818181818,3.225,0.8931818181818181,False,False,,,none,False
AION S,埃安,轿车,2026-02-28,180,2025-09-02,2025-03-06,12,5,0.06944444444444443,-0.1333333333333333,0.20277777777777772,0.4166666666666667,12,5,4.058333333333333,3.5799999999999996,0.47833333333333306,True,False,,,none,False
AION S,埃安,轿车,2026-03-31,180,2025-10-03,2025-04-06,11,6,0.13636363636363635,-0.22222222222222218,0.35858585858585856,0.36363636363636365,11,6,4.054545454545455,3.6666666666666665,0.38787878787878816,True,False,,,none,False
AION S,埃安,轿车,2026-04-30,180,2025-11-02,2025-05-06,9,9,0.31481481481481477,-0.18518518518518515,0.4999999999999999,0.3333333333333333,9,9,4.211111111111111,3.7222222222222223,0.48888888888888893,True,False,,,none,False
AION S,埃安,轿车,2026-05-31,180,2025-12-03,2025-06-06,9,9,0.31481481481481477,-0.18518518518518515,0.4999999999999999,0.3333333333333333,9,9,4.211111111111111,3.7222222222222223,0.48888888888888893,True,False,,,none,False
AION S,埃安,轿车,2026-06-30,180,2026-01-02,2025-07-06,8,9,0.47916666666666663,-0.2962962962962963,0.7754629629629629,0.25,8,9,4.2875000000000005,3.811111111111112,0.47638888888888875,True,False,,,none,False
AION S,埃安,轿车,2026-07-31,180,2026-02-02,2025-08-06,3,11,0.38888888888888884,0.15151515151515152,0.23737373737373732,0.3333333333333333,3,11,4.3999999999999995,4.118181818181818,0.2818181818181813,False,False,,,none,False
AION UT,埃安,轿车,2025-02-28,180,2024-09-02,2024-03-06,1,0,0.875,,,0.0,1,0,3.6,,,False,False,,,none,False
AION UT,埃安,轿车,2025-03-31,180,2024-10-03,2024-04-06,18,0,0.6709656084656085,,,0.05555555555555555,18,0,4.5777777777777775,,,False,False,,,none,False
AION UT,埃安,轿车,2025-04-30,180,2024-11-02,2024-05-06,40,0,0.4715873015873015,,,0.175,40,0,4.3675,,,False,False,,,none,False
AION UT,埃安,轿车,2025-05-31,180,2024-12-03,2024-06-06,45,0,0.4836331569664902,,,0.15555555555555556,45,0,4.377777777777778,,,False,False,,,none,False
AION UT,埃安,轿车,2025-06-30,180,2025-01-02,2024-07-06,51,0,0.49262371615312806,,,0.13725490196078433,51,0,4.390196078431373,,,False,False,,,none,False
AION UT,埃安,轿车,2025-07-31,180,2025-02-02,2024-08-06,60,0,0.4496031746031746,,,0.15,60,0,4.361666666666666,,,False,False,,,none,False
AION UT,埃安,轿车,2025-08-31,180,2025-03-05,2024-09-06,63,1,0.4143046107331822,0.875,-0.4606953892668178,0.15873015873015872,63,1,4.398412698412699,3.6,0.7984126984126987,False,False,,,none,False
AION UT,埃安,轿车,2025-09-30,180,2025-04-04,2024-10-06,41,24,0.28655632984901275,0.6594742063492064,-0.37291787650019365,0.21951219512195122,41,24,4.273170731707317,4.595833333333333,-0.3226626016260159,True,False,,,none,False
AION UT,埃安,轿车,2025-10-31,180,2025-05-05,2024-11-06,24,41,0.34636243386243387,0.4698412698412697,-0.12347883597883585,0.125,24,41,4.45,4.3585365853658535,0.09146341463414664,True,False,,,none,False
AION UT,埃安,轿车,2025-11-30,180,2025-06-04,2024-12-06,21,47,0.3170445956160242,0.4807835190813913,-0.16373892346536706,0.14285714285714285,21,47,4.433333333333333,4.376595744680851,0.05673758865248146,True,False,,,none,False
AION UT,埃安,轿车,2025-12-31,180,2025-07-05,2025-01-06,17,51,0.24299719887955185,0.49262371615312806,-0.2496265172735762,0.17647058823529413,17,51,4.405882352941176,4.390196078431373,0.015686274509802978,True,False,,,none,False
AION UT,埃安,轿车,2026-01-31,180,2025-08-05,2025-02-06,19,60,0.5348370927318296,0.4496031746031746,0.08523391812865494,0.05263157894736842,19,60,4.694736842105264,4.361666666666666,0.33307017543859807,True,False,,,none,False
AION UT,埃安,轿车,2026-02-28,180,2025-09-02,2025-03-06,17,63,0.6565826330532213,0.4143046107331822,0.2422780223200391,0.0,17,63,4.635294117647058,4.398412698412699,0.23688141923435957,True,False,,,none,False
AION UT,埃安,轿车,2026-03-31,180,2025-10-03,2025-04-06,19,41,0.5709273182957394,0.28655632984901275,0.28437098844672665,0.05263157894736842,19,41,4.61578947368421,4.273170731707317,0.3426187419768931,True,False,,,none,False
AION UT,埃安,轿车,2026-04-30,180,2025-11-02,2025-05-06,21,24,0.5301587301587303,0.34636243386243387,0.1837962962962964,0.047619047619047616,21,24,4.6,4.45,0.14999999999999947,True,False,,,none,False
AION UT,埃安,轿车,2026-05-31,180,2025-12-03,2025-06-06,18,21,0.5252645502645502,0.3170445956160242,0.208219954648526,0.05555555555555555,18,21,4.627777777777777,4.433333333333333,0.19444444444444464,True,False,,,none,False
AION UT,埃安,轿车,2026-06-30,180,2026-01-02,2025-07-06,22,17,0.5888528138528139,0.24299719887955185,0.345855614973262,0.045454545454545456,22,17,4.536363636363636,4.405882352941176,0.13048128342246024,True,False,,,none,False
AION UT,埃安,轿车,2026-07-31,180,2026-02-02,2025-08-06,12,18,0.5059523809523809,0.5645502645502645,-0.05859788359788354,0.08333333333333333,12,18,4.366666666666667,4.700000000000001,-0.3333333333333339,True,False,,,none,False
EO 羿欧,现代,SUV,2025-11-30,180,2025-06-04,2024-12-06,1,0,-0.2,,,1.0,1,0,3.8,,,False,False,,,none,False
EO 羿欧,现代,SUV,2025-12-31,180,2025-07-05,2025-01-06,2,0,0.4,,,0.5,2,0,4.3,,,False,False,,,none,False
EO 羿欧,现代,SUV,2026-01-31,180,2025-08-05,2025-02-06,3,0,0.26666666666666666,,,0.3333333333333333,3,0,4.233333333333333,,,False,False,,,none,False
EO 羿欧,现代,SUV,2026-02-28,180,2025-09-02,2025-03-06,3,0,0.26666666666666666,,,0.3333333333333333,3,0,4.233333333333333,,,False,False,,,none,False
EO 羿欧,现代,SUV,2026-03-31,180,2025-10-03,2025-04-06,3,0,0.26666666666666666,,,0.3333333333333333,3,0,4.233333333333333,,,False,False,,,none,False
EO 羿欧,现代,SUV,2026-04-30,180,2025-11-02,2025-05-06,4,0,0.45,,,0.25,4,0,4.425,,,False,False,,,none,False
EO 羿欧,现代,SUV,2026-05-31,180,2025-12-03,2025-06-06,3,1,0.6666666666666666,-0.2,0.8666666666666667,0.0,3,1,4.633333333333333,3.8,0.833333333333333,False,False,,,none,False
EO 羿欧,现代,SUV,2026-06-30,180,2026-01-02,2025-07-06,2,2,0.5,0.4,0.09999999999999998,0.0,2,2,4.55,4.3,0.25,False,False,,,none,False
EO 羿欧,现代,SUV,2026-07-31,180,2026-02-02,2025-08-06,1,3,1.0,0.26666666666666666,0.7333333333333334,0.0,1,3,5.0,4.233333333333333,0.7666666666666666,False,False,,,none,False
EVOS,福特,SUV,2022-03-31,180,2021-10-03,2021-04-06,2,0,0.2,,,0.0,2,0,4.1899999999999995,,,False,False,,,none,False
EVOS,福特,SUV,2022-04-30,180,2021-11-02,2021-05-06,2,0,0.2,,,0.0,2,0,4.1899999999999995,,,False,False,,,none,False
EVOS,福特,SUV,2022-05-31,180,2021-12-03,2021-06-06,2,0,0.2,,,0.0,2,0,4.1899999999999995,,,False,False,,,none,False
EVOS,福特,SUV,2022-06-30,180,2022-01-02,2021-07-06,2,0,0.2,,,0.0,2,0,4.1899999999999995,,,False,False,,,none,False
EVOS,福特,SUV,2022-07-31,180,2022-02-02,2021-08-06,2,0,0.2,,,0.0,2,0,4.1899999999999995,,,False,False,,,none,False
EVOS,福特,SUV,2022-08-31,180,2022-03-05,2021-09-06,3,0,0.4666666666666666,,,0.0,3,0,4.413333333333333,,,False,False,,,none,False
EVOS,福特,SUV,2022-09-30,180,2022-04-04,2021-10-06,1,2,1.0,0.2,0.8,0.0,1,2,4.86,4.1899999999999995,0.6700000000000008,False,False,,,none,False
EVOS,福特,SUV,2022-10-31,180,2022-05-05,2021-11-06,1,2,1.0,0.2,0.8,0.0,1,2,4.86,4.1899999999999995,0.6700000000000008,False,False,,,none,False
EVOS,福特,SUV,2022-11-30,180,2022-06-04,2021-12-06,1,2,1.0,0.2,0.8,0.0,1,2,4.86,4.1899999999999995,0.6700000000000008,False,False,,,none,False
EVOS,福特,SUV,2022-12-31,180,2022-07-05,2022-01-06,1,2,1.0,0.2,0.8,0.0,1,2,4.86,4.1899999999999995,0.6700000000000008,False,False,,,none,False
EVOS,福特,SUV,2023-01-31,180,2022-08-05,2022-02-06,1,2,1.0,0.2,0.8,0.0,1,2,4.86,4.1899999999999995,0.6700000000000008,False,False,,,none,False
EVOS,福特,SUV,2023-02-28,180,2022-09-02,2022-03-06,0,3,,0.4666666666666666,,,0,3,,4.413333333333333,,False,False,,,none,False
EVOS,福特,SUV,2023-03-31,180,2022-10-03,2022-04-06,1,1,0.5,1.0,-0.5,0.0,1,1,4.5,4.86,-0.3600000000000003,False,False,,,none,False
EVOS,福特,SUV,2023-04-30,180,2022-11-02,2022-05-06,2,1,0.25,1.0,-0.75,0.0,2,1,4.535,4.86,-0.3250000000000002,False,False,,,none,False
EVOS,福特,SUV,2023-05-31,180,2022-12-03,2022-06-06,3,1,0.2916666666666667,1.0,-0.7083333333333333,0.0,3,1,4.593333333333334,4.86,-0.2666666666666666,False,False,,,none,False
EVOS,福特,SUV,2023-06-30,180,2023-01-02,2022-07-06,5,1,0.505,1.0,-0.495,0.0,5,1,4.698,4.86,-0.16199999999999992,False,False,,,none,False
EVOS,福特,SUV,2023-07-31,180,2023-02-02,2022-08-06,5,1,0.505,1.0,-0.495,0.0,5,1,4.698,4.86,-0.16199999999999992,False,False,,,none,False
EVOS,福特,SUV,2023-08-31,180,2023-03-05,2022-09-06,6,0,0.5708333333333333,,,0.0,6,0,4.748333333333334,,,False,False,,,none,False
EVOS,福特,SUV,2023-09-30,180,2023-04-04,2022-10-06,5,1,0.585,0.5,0.08499999999999996,0.0,5,1,4.798,4.5,0.29800000000000004,False,False,,,none,False
EVOS,福特,SUV,2023-10-31,180,2023-05-05,2022-11-06,4,2,0.73125,0.25,0.48124999999999996,0.0,4,2,4.855,4.535,0.3200000000000003,False,False,,,none,False
EVOS,福特,SUV,2023-11-30,180,2023-06-04,2022-12-06,2,4,0.9,0.40625,0.49375,0.0,2,4,5.0,4.6225000000000005,0.3774999999999995,False,False,,,none,False
EVOS,福特,SUV,2023-12-31,180,2023-07-05,2023-01-06,1,5,0.9,0.505,0.395,0.0,1,5,5.0,4.698,0.3019999999999996,False,False,,,none,False
EVOS,福特,SUV,2024-01-31,180,2023-08-05,2023-02-06,1,5,0.9,0.505,0.395,0.0,1,5,5.0,4.698,0.3019999999999996,False,False,,,none,False
EVOS,福特,SUV,2024-02-29,180,2023-09-03,2023-03-07,0,6,,0.5708333333333333,,,0,6,,4.748333333333334,,False,False,,,none,False
EVOS,福特,SUV,2024-03-31,180,2023-10-04,2023-04-07,0,5,,0.585,,,0,5,,4.798,,False,False,,,none,False
EVOS,福特,SUV,2024-04-30,180,2023-11-03,2023-05-07,0,4,,0.73125,,,0,4,,4.855,,False,False,,,none,False
EVOS,福特,SUV,2024-05-31,180,2023-12-04,2023-06-07,0,2,,0.9,,,0,2,,5.0,,False,False,,,none,False
EVOS,福特,SUV,2024-06-30,180,2024-01-03,2023-07-07,0,1,,0.9,,,0,1,,5.0,,False,False,,,none,False
EVOS,福特,SUV,2024-07-31,180,2024-02-03,2023-08-07,0,1,,0.9,,,0,1,,5.0,,False,False,,,none,False
EVOS,福特,SUV,2025-07-31,180,2025-02-02,2024-08-06,1,0,0.5,,,0.0,1,0,4.86,,,False,False,,,none,False
EVOS,福特,SUV,2025-08-31,180,2025-03-05,2024-09-06,1,0,0.5,,,0.0,1,0,4.86,,,False,False,,,none,False
EVOS,福特,SUV,2025-09-30,180,2025-04-04,2024-10-06,1,0,0.5,,,0.0,1,0,4.86,,,False,False,,,none,False
EVOS,福特,SUV,2025-10-31,180,2025-05-05,2024-11-06,1,0,0.5,,,0.0,1,0,4.86,,,False,False,,,none,False
