series_name,date,original_sales,corrected_sales,source_name,source_url,evidence_status,verified_at,note
Model Y,2025-08-01,0,39413,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致
Model Y,2025-09-01,0,51173,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致
Model Y,2025-10-01,0,19488,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致
Model Y,2025-11-01,0,47132,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致
Model Y,2025-12-01,0,65874,太平洋汽车,https://www.pcauto.com.cn/jxwd/5158/51588188.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计425337一致
Model 3,2024-06-01,0,18151,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计176793
Model 3,2024-07-01,0,9928,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计176793
Model 3,2024-08-01,0,18126,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计176793
Model 3,2024-09-01,0,23998,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计176793
Model 3,2024-10-01,0,4281,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计176793
Model 3,2024-11-01,0,28914,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计176793
Model 3,2024-12-01,0,21046,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；2024全年合计176793
Model 3,2025-01-01,0,8009,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致
Model 3,2025-02-01,0,18771,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致
Model 3,2025-03-01,0,25938,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致
Model 3,2025-04-01,0,8747,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致
Model 3,2025-05-01,0,13818,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致
Model 3,2025-06-01,0,16636,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致
Model 3,2025-07-01,0,9851,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致
Model 3,2025-08-01,0,17739,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致
Model 3,2025-09-01,0,20352,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致
Model 3,2025-10-01,0,6518,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致
Model 3,2025-11-01,0,26013,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致
Model 3,2025-12-01,0,27969,太平洋汽车,https://m.pcauto.com.cn/x/5105/51055697.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与车系页2025累计200361一致
Model Y,2022-09-01,0,46694,太平洋汽车,https://www.pcauto.com.cn/jxwd/3714/37141783.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与页面2022总销量315314一致
Model Y,2022-10-01,0,14391,太平洋汽车,https://www.pcauto.com.cn/jxwd/3714/37141783.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与页面2022总销量315314一致
Model Y,2022-11-01,0,52424,太平洋汽车,https://www.pcauto.com.cn/jxwd/3714/37141783.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与页面2022总销量315314一致
Model 3,2022-10-01,0,2809,太平洋汽车,https://www.pcauto.com.cn/jxwd/4132/41326406.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与页面2022总销量124456一致
Model 3,2022-11-01,0,10069,太平洋汽车,https://www.pcauto.com.cn/jxwd/4132/41326406.html,verified_same_source,2026-08-28,同源年度同比表；全年合计与页面2022总销量124456一致
Model Y,2022-01-01,33297,16358,太平洋汽车,https://www.pcauto.com.cn/jxwd/3714/37141783.html,verified_same_source,2026-08-28,同源年度同比表；纠正原快照中的非零错值并使2022全年合计与页面315314一致
Model Y,2022-02-01,32403,18593,太平洋汽车,https://www.pcauto.com.cn/jxwd/3714/37141783.html,verified_same_source,2026-08-28,同源年度同比表；纠正原快照中的非零错值并使2022全年合计与页面315314一致
Model 3,2022-01-01,26548,2988,太平洋汽车,https://www.pcauto.com.cn/jxwd/4132/41326406.html,verified_same_source,2026-08-28,同源年度同比表；纠正原快照中的非零错值并使2022全年合计与页面124456一致
Model 3,2022-02-01,24112,4607,太平洋汽车,https://www.pcauto.com.cn/jxwd/4132/41326406.html,verified_same_source,2026-08-28,同源年度同比表；纠正原快照中的非零错值并使2022全年合计与页面124456一致
