identity,review_id,series_name,publish_time,corpus_source,content_chars,content_sha256,prompt_version,success,error,attempts,requested_model,api_model,thinking_mode,finish_reason,prompt_tokens,cache_hit_tokens,cache_miss_tokens,completion_tokens,total_tokens,pricing_tier,estimated_cost_usd,estimated_cost_cny,started_at,finished_at,appearance_mentioned,appearance_polarity,appearance_evidence,interior_mentioned,interior_polarity,interior_evidence,space_mentioned,space_polarity,space_evidence,power_mentioned,power_polarity,power_evidence,control_mentioned,control_polarity,control_evidence,comfort_mentioned,comfort_polarity,comfort_evidence,fuel_consumption_mentioned,fuel_consumption_polarity,fuel_consumption_evidence,configuration_mentioned,configuration_polarity,configuration_evidence,intelligence_mentioned,intelligence_polarity,intelligence_evidence,value_mentioned,value_polarity,value_evidence
dongchedi::6895977864361938952,6895977864361938952,MG6,2020-11-17 14:36:04,dongchedi_incremental,494,64c9f8d22dcb571bc397ca1dae3fc4f2301ba7e36694a19a85246ccad82cc71c,autopulse_absa_v3_2026-08-24,False,ValueError: comfort.evidence exceeds 30 characters,3,deepseek-v4-flash,deepseek-v4-flash,disabled,,901,512,389,254,1155,off_peak,0.000256804,0.0018489888000000002,2026-08-24T05:44:06.769247+00:00,2026-08-24T05:44:23.421446+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dongchedi::6902322173407399950,6902322173407399950,MG6,2020-12-04 16:55:14,dongchedi_incremental,321,60311740fa60b85f770fbef3bbc4c7d0739de9580671943de95c6a2409fe9cb2,autopulse_absa_v2_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,784,512,272,218,1002,off_peak,0.000207304,0.0014925888,2026-08-24T05:29:39.032879+00:00,2026-08-24T05:29:42.166224+00:00,True,1.0,外观比较符合年轻人的审美,True,1.0,软包的地方很多，很显档次感,True,1.0,车内前后排都很宽裕,True,1.0,动力感受还是不错的,True,1.0,方向盘手感比较不错,True,-1.0,减震有些硬，后排有些颠簸感,True,0.0,油耗的话百公里在7—9个左右,False,,,False,,,True,1.0,在10万元这个级别还是比较突出的
dongchedi::6923552785283682317,6923552785283682317,MG6,2021-01-30 22:00:51,dongchedi_incremental,864,82c9f482fc275e611d893f045997eede73f1c5578dde04d136ba1c0c208c915b,autopulse_absa_v2_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,1120,512,608,256,1376,off_peak,0.000306304,0.0022053888,2026-08-24T05:29:42.364928+00:00,2026-08-24T05:29:45.810522+00:00,True,1.0,这车漆真硬，叶子板撞凹进去了漆一点事都没有,False,,,False,,,True,1.0,车子动力可能我长时间运动模式车子动力不减感觉反而加了,True,-1.0,这车减震有点小硬，过坑坑洼洼路面有点难受,True,-1.0,车子隔音感觉好像变差了高架上80码速度胎噪和风噪呼呼而来,True,0.0,市区平均12个点高速上6个样子,True,-1.0,吐槽下行车记录仪看视频有点卡啊,True,1.0,车机会显示车子平均速度和还剩多少,False,,
dongchedi::6941561726747807780,6941561726747807780,MG6,2021-03-20 10:44:44,dongchedi_incremental,348,07bdb4a3a184b1886ec83855a29287e0662acedc0ffe0f3c41fdf66e2ac67d60,autopulse_absa_v3_2026-08-24,True,,2,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,1628,1280,348,480,2108,off_peak,0.00040232,0.002896704,2026-08-24T05:43:43.308199+00:00,2026-08-24T05:43:58.432756+00:00,True,1.0,买的时候喜欢的就是外观,False,,,True,1.0,空间大后排能放倒,True,1.0,动力1.5T超车完全没压力,True,0.0,低速顿挫高速换挡也有顿挫,True,-1.0,悬架太硬回村像开拖拉机,True,-1.0,油耗的话，个人感觉有点高,True,0.0,胎压监测系统长时间跑高速会提示故障,False,,,True,-1.0,国产车肯定不保值
dongchedi::6949843422551216164,6949843422551216164,MG6,2021-04-11 18:21:57,dongchedi_incremental,1122,ae60ca6dc9ba71031cfcab885597f11912cc85bd8c173d38a7ea0acc6d6f12fd,autopulse_absa_v2_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,1296,512,784,227,1523,off_peak,0.000325884,0.0023463648000000004,2026-08-24T05:29:42.363651+00:00,2026-08-24T05:29:46.434179+00:00,False,,,True,1.0,内饰部分中控台上方为软质材料包裹,True,1.0,整个空间表现同级比较优秀了,True,1.0,这个动力表现也不用说好不好了,True,0.0,整体调教风格偏硬，走非铺装路面车身姿态不太稳健,True,0.0,隔音静谧性表现一般,True,0.0,实测百公里油耗为7.8L,False,,,False,,,True,0.0,优惠后落地价为11.68万
dongchedi::7005447727630782478,7005447727630782478,MG6,2021-09-08 14:35:03,dongchedi_incremental,646,63282583a124788cc0aaf95483f92d9cb5fab5202c108bdb56d55464050a5ea3,autopulse_absa_v3_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,985,512,473,226,1211,off_peak,0.00025680399999999996,0.0018489887999999998,2026-08-24T05:43:43.306821+00:00,2026-08-24T05:43:52.441113+00:00,True,1.0,名爵6 Pro给我的感觉就是太帅了,True,1.0,内饰设计同样很有运动感,True,-1.0,后排腿部空间和头部空间显得有点局促,True,1.0,油门反应很积极,True,0.0,方向盘的精装性没有达到我的预期,True,1.0,前后排舒适性还是不错,False,,,True,1.0,原厂就配备大尺寸的尾翼,False,,,True,1.0,在这个价位下能看到很多性能车才配备的东西
dongchedi::7043068722491166727,7043068722491166727,MG6,2021-12-18 23:43:43,dongchedi_incremental,421,567aa759de71469b7461e9e39ab2967c97872041122566510e70fb2eb411c738,autopulse_absa_v2_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,877,512,365,266,1143,off_peak,0.000259444,0.0018679968,2026-08-24T05:29:42.364189+00:00,2026-08-24T05:29:46.116128+00:00,True,1.0,颜值还是不错,True,-1.0,内饰基本拉胯 各种硬塑料,True,1.0,空间这块没得挑后排一放到啥都可以装,True,0.0,动力开始觉得猛因为以前福瑞迪自吸车所以动力开始用觉得猛得一匹,True,-1.0,变速箱也是拉胯各种异响顿挫,True,-1.0,舒适性不要说了避震硬的很过烂路没点高级感,True,1.0,油耗上下班通勤不堵车7.5个油左右高速基本6.5左右,False,,,True,-1.0,车机反应慢 功能也少,True,-1.0,卖也卖不了几个钱
dongchedi::7050396135134859276,7050396135134859276,MG6,2022-03-25 07:35:11,dongchedi_incremental,568,95389c32a5df18d33c11d5bc50c4b8f20295885487a887d1e9a7e0093a1a199c,autopulse_absa_v2_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,947,512,435,213,1160,off_peak,0.00023986400000000003,0.0017270208000000002,2026-08-24T05:29:25.019911+00:00,2026-08-24T05:29:28.043067+00:00,True,1.0,外观大气好看,False,,,True,1.0,掀背的后备箱，真的是非常实用,True,1.0,动力强,True,1.0,底盘还不错，高速很稳,True,1.0,乡村路也比较舒服,True,1.0,油耗基本在6.5左右，算比较省油,True,1.0,手动挡带定速巡航跑长途比较省力,False,,,True,1.0,对的起这个价钱
dongchedi::7087087721746796548,7087087721746796548,MG6,2022-04-16 14:50:09,dongchedi_incremental,278,3368a2a924f55d94017986b996f51487b15557f268edbc041594e3631317dec4,autopulse_absa_v2_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,754,512,242,214,968,off_peak,0.00019806400000000002,0.0014260608,2026-08-24T05:29:04.228172+00:00,2026-08-24T05:29:07.491032+00:00,True,1.0,整体式溜背造型设计，看着挺好看的,True,1.0,内饰也是我挺喜欢的，前卫时尚,True,1.0,放宝宝椅再座人也没有感觉到很挤,False,,,False,,,False,,,True,0.0,油耗方面还能接受，感觉车应该都是这样子,False,,,False,,,True,0.0,看过很多款同等价位的车，对比下来
dongchedi::7148813370789990441,7148813370789990441,MG6,2022-10-10 04:23:47,dongchedi_incremental,753,244d524a0ea5fe3f0a2a69d6b33b0d4af9af083bd72c49017523c386022395f5,autopulse_absa_v3_2026-08-24,False,ValueError: space.evidence exceeds 30 characters,3,deepseek-v4-flash,deepseek-v4-flash,disabled,,3201,2560,641,1092,4293,off_peak,0.00087966,0.006333552,2026-08-24T05:43:26.816674+00:00,2026-08-24T05:43:43.303456+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autohome::01jmybhga36mtkadsm74vg0000,01jmybhga36mtkadsm74vg0000,MG7,2025-02-25 00:00:00,autohome_incremental,737,139f166ae832932f45c7abe954a1b60e77b6967c21b693d4b71b20ae2e2a2d7b,autopulse_absa_v2_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,1043,512,531,267,1310,off_peak,0.000296624,0.0021356928,2026-08-24T05:29:25.018502+00:00,2026-08-24T05:29:30.260607+00:00,True,1.0,外形很运动，尤其25款，我的这个配置增加了红色的运动卡钳,True,1.0,黑红的搭配是我比较喜欢的座椅的一个包裹性,True,1.0,前排乘坐空间包括后排的一个乘坐空间，我感觉都是比较空旷的,True,1.0,2.0t的动力很充沛，市区高速都是随便超车,False,,,True,1.0,座椅的一个包裹性，包括它的一个触感都是非常棒,True,-1.0,油耗比较高。如果市区的话，油耗快十升,True,1.0,配置我感觉我买这个配置是非常丰富了,True,0.0,屏幕壁纸还可以自定义上传,True,1.0,对比了好多车型，感觉买到b级车的价格都比它贵
dongchedi::7058680792712482827,7058680792712482827,QQ冰淇淋,2022-01-30 01:53:07,dongchedi_incremental,1032,1530fb21b21015e08f03881b9bdb4a75ae6aa4bb01b5b2490bb493c32f26f68c,autopulse_absa_v3_2026-08-24,False,ValueError: control.evidence is not an exact quote from the review,3,deepseek-v4-flash,deepseek-v4-flash,disabled,,3732,2816,916,1062,4794,off_peak,0.0009221520000000001,0.0066394944,2026-08-24T05:42:33.212715+00:00,2026-08-24T05:42:50.063813+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dongchedi::7668177901409275966,7668177901409275966,eπ007,2026-07-30 12:52:33,dongchedi_incremental,899,a62ef17916839b0d4fe30c0b85d03f2e8ba83b36104a15a16661e94553703a46,autopulse_absa_v2_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,1092,512,580,227,1319,off_peak,0.000281004,0.0020232288,2026-08-24T05:29:39.032309+00:00,2026-08-24T05:29:42.133344+00:00,True,1.0,综合对比了续航配置颜值和价格,False,,,True,1.0,空间方面也能够满足我的需求,True,0.0,经济模式会比较肉，尤其是加速还是慢一点,False,,,True,1.0,纯电车开起来确实比燃油车舒服不少,True,1.0,用车成本相比以前坐公交加偶尔开燃油车低了不少,False,,,True,-1.0,奕派APP和蓝牙钥匙体验一般,True,1.0,综合对比了续航配置颜值和价格
dongchedi::7668204138345287705,7668204138345287705,eπ007,2026-07-30 14:28:25,dongchedi_incremental,33,6837cadd1e616dceabfa275c13813ebf93e71de1efa3a51314d0f6e9d727faf1,autopulse_absa_v3_2026-08-24,True,,2,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,621,512,109,183,804,off_peak,0.000148344,0.0010680767999999999,2026-08-24T05:44:06.770714+00:00,2026-08-24T05:44:12.090793+00:00,False,,,False,,,True,-1.0,4.88车身后排小,False,,,False,,,True,-1.0,有空腔共振,False,,,False,,,True,-1.0,智驾有时候出错,False,,
dongchedi::7646808546834649150,7646808546834649150,eπ007,2026-08-07 09:12:50,dongchedi_incremental,450,d54d461bd8642ae0d5e3bc027932a8730e03d33e188b32907faa31ff606c99c4,autopulse_absa_v3_2026-08-24,False,"SSLError: HTTPSConnectionPool(host='api.deepseek.com', port=443): Max retries exceeded with url: /chat/completions (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1032)')))",3,deepseek-v4-flash,deepseek-v4-flash,disabled,,0,0,0,0,0,off_peak,0.0,0.0,2026-08-24T05:44:06.769897+00:00,2026-08-24T05:44:24.799846+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
autohome::01fwj1gghs6grkacsq6mtg0000,01fwj1gghs6grkacsq6mtg0000,五菱征程,2022-02-23 00:00:00,autohome_incremental,677,c98af92e7605a52458be1e104966d373fd4e1e30370877281c4be52b5bf69b4a,autopulse_absa_v2_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,986,512,474,228,1214,off_peak,0.00025834400000000003,0.0018600768000000003,2026-08-24T05:29:35.042537+00:00,2026-08-24T05:29:38.000927+00:00,True,-1.0,车漆比较薄，装配工艺也比较一般,True,1.0,用料还挺好的，仿皮座椅看着还挺上档次,True,1.0,空间特别宽敞,True,-1.0,中后段的动力响应也不是很积极,True,1.0,转向的灵敏度和指向的精准程度很可以,True,1.0,前两排的乘坐舒适感还是很OK的,True,1.0,油耗完全符合我的预期,False,,,False,,,True,1.0,性价比非常高，用车成本也是真的低
autohome::01ez47kpe96ct3jdhh70t00000,01ez47kpe96ct3jdhh70t00000,传祺GA8,2021-02-22 00:00:00,autohome_incremental,1126,af5b57db57f4697daf89e30da7e7880b4a8ce8b7ab49e44595762400b4dd16ee,autopulse_absa_v2_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,1216,512,704,218,1434,off_peak,0.000302344,0.0021768768,2026-08-24T05:29:35.044601+00:00,2026-08-24T05:29:38.202113+00:00,True,1.0,外观设计感充满了时尚大气感,True,1.0,内饰的配置很丰富而且实用性也很强,True,1.0,空间表现很满意,True,1.0,动力很充足一加油门儿说来就来,True,0.0,操控简单但刹车软,True,1.0,座椅填充物很充足,True,1.0,百公里七个多的油耗还是很低的,False,,,False,,,True,-1.0,优惠力度有点小感觉整体的性价比不是很高
dongchedi::6928723470171770893,6928723470171770893,冠道,2021-02-13 20:25:00,old_v1,568,5d94d7a26a5d442026a5a5a291fcdd3b0c2d82641ebfcb73ca4a941391a3c20f,autopulse_absa_v2_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,953,512,441,295,1248,off_peak,0.00029530400000000003,0.0021261888000000005,2026-08-24T05:29:20.938041+00:00,2026-08-24T05:29:25.014215+00:00,False,,,True,0.0,内饰比汉兰达强，用料也算了良心了，可是仪表盘不是全液晶,True,1.0,同级别五座suv空间表现能排前三了,True,0.0,起步较肉，不过毕竟这么大的车1.5t也可理解，涡轮起压40码之后动力还是十分充沛的,True,0.0,高速行驶较稳，转弯什么的有“安全感”，方向盘回馈力度和底盘虑震表现挑不出什么毛病，只是刹车偏软,True,-1.0,后排座椅的坐垫还是有些短，同时座椅太矮,True,-1.0,综合油耗10L多，以它排量来说太高,True,-1.0,油箱小了点，这么大车油箱容积53L,False,,,True,0.0,家用来说的话，1.5t已经足够
dongchedi::7164348420776267817,7164348420776267817,冠道,2022-11-10 19:30:00,old_v1,821,50990bcd72c1c4d400b2045eaf18f3635e9ee24cdd370de52fba83d5ed5c9dec,autopulse_absa_v3_2026-08-24,False,ValueError: space.evidence exceeds 30 characters,3,deepseek-v4-flash,deepseek-v4-flash,disabled,,3375,2560,815,834,4209,off_peak,0.0007476600000000001,0.005383152,2026-08-24T05:43:07.197630+00:00,2026-08-24T05:43:26.443458+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dongchedi::7039939632863121416,7039939632863121416,凯迪拉克XT6,2021-12-10 13:21:00,old_v1,447,6a840ac58f45402be0b3184a1700f8b1c16ddbbb7e6d0fde07c9894d84e97f61,autopulse_absa_v3_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,890,512,378,238,1128,off_peak,0.00024382400000000002,0.0017555328000000002,2026-08-24T05:42:50.622672+00:00,2026-08-24T05:42:54.242662+00:00,True,1.0,车子外观够大气,True,-1.0,内饰沿用起码5年前的，有点落伍,True,1.0,空间大，6座刚好出门吃饭一辆车满足,False,,,True,1.0,开启四驱感觉还挺稳的,True,1.0,隔音好，行驶质感不错，长途贼舒服,True,1.0,油耗还可以，跑长途一箱油轻轻松松1100+,True,1.0,要用的配置基本都有,True,0.0,车机系统一般般，不过最近升级了系统,True,1.0,便宜 ， 性价比高
autohome::01j2rgtf5f6mskjdsh74sg0000,01j2rgtf5f6mskjdsh74sg0000,别克E4,2024-07-14 00:00:00,autohome_incremental,1046,a4cce0943d8ad4eef8dabf86f32fb1198ea9dd87f17b810ebb68effe2c3b1e8a,autopulse_absa_v2_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,1237,512,725,242,1479,off_peak,0.000322804,0.0023241888,2026-08-24T05:29:20.938599+00:00,2026-08-24T05:29:24.392543+00:00,True,1.0,外观设计绝对是最满意的地方，颜值高,True,1.0,30寸6K的大联屏，看起来非常舒服,True,1.0,空间设计比较合理，储物盒到处都有,True,1.0,电车加速其实不用过多纠结,True,1.0,方向盘非常轻盈，配上驾驶辅助开起来非常舒服,True,1.0,座椅的材质坐上去也很舒服,True,1.0,能耗低，充电一次能用大半个月,True,1.0,配置够用，价格方面也有优惠,True,1.0,语音辅助类型的，说白了都在那块大屏里面,True,1.0,性价比还是比较高的
autohome::01kb1ttw9m6mvk8csn74t00000,01kb1ttw9m6mvk8csn74t00000,别克GL8新能源,2025-11-27 00:00:00,autohome_incremental,887,304ee8554131c4d9a41c284987944b6b05388f46b522229d0a314ab14d23ca6a,autopulse_absa_v2_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,1198,512,686,251,1449,off_peak,0.000320164,0.0023051808000000003,2026-08-24T05:29:39.032486+00:00,2026-08-24T05:29:42.186108+00:00,True,1.0,渐变车漆很好看，车身方方正正但不臃肿,True,-1.0,内饰塑料感也挺多的,True,1.0,7座布局太实用，二排航空座椅带腿托,True,1.0,用电起步加速不拖沓比纯油快,True,1.0,方向盘很轻，底盘调校稳,True,-1.0,高速风噪有点大,True,1.0,纯电通勤一公里才一两毛,True,1.0,这个配置真满意性价比高,True,-1.0,车机偶尔卡顿，语音控制有时候会听错指令,True,1.0,这个配置真满意性价比高
autohome::01kdawr5906mvkce1k64t00000,01kdawr5906mvkce1k64t00000,唐新能源,2025-12-25 00:00:00,autohome_incremental,977,3c0c0dd0aa3d094c09a13379b6771a273a60dc539743b52f7217b8292798e017,autopulse_absa_v3_2026-08-24,True,,1,deepseek-v4-flash,deepseek-v4-flash,disabled,stop,1171,0,1171,252,1423,off_peak,0.00042394000000000004,0.003052368,2026-08-24T05:41:33.069597+00:00,2026-08-24T05:41:37.453092+00:00,True,1.0,外观正好戳中我的审美,True,1.0,满满的科技感和扎实的用料,True,0.0,前两排座椅空间挺宽敞，但是第三排相对前两排有点紧凑,True,1.0,动力输出非常平顺，油电切换几乎没有顿挫感,True,1.0,底盘调校的也不错，减震效果很好,True,1.0,座椅软硬适中，长时间乘坐也不累,True,0.0,纯电续航有点短，要是纯电续航能做到200公里,False,,,True,1.0,智能化表现，科技感很足,True,1.0,落地价格不算高，商家给的售后保障也不错
