identity,review_id,review_id_key,series_name,publish_time,corpus_source,platform,content_source,content_len,rating_overall,legacy_available,prompt_version,requested_model,scored_at,text_global_polarity,label_source,manual_qa_status,deepseek_appearance_raw_polarity,deepseek_appearance_legacy_compatible,deepseek_appearance_api_mentioned,uniform_local_appearance_mentioned,deepseek_interior_raw_polarity,deepseek_interior_legacy_compatible,deepseek_interior_api_mentioned,uniform_local_interior_mentioned,deepseek_space_raw_polarity,deepseek_space_legacy_compatible,deepseek_space_api_mentioned,uniform_local_space_mentioned,deepseek_power_raw_polarity,deepseek_power_legacy_compatible,deepseek_power_api_mentioned,uniform_local_power_mentioned,deepseek_control_raw_polarity,deepseek_control_legacy_compatible,deepseek_control_api_mentioned,uniform_local_control_mentioned,deepseek_comfort_raw_polarity,deepseek_comfort_legacy_compatible,deepseek_comfort_api_mentioned,uniform_local_comfort_mentioned,deepseek_fuel_consumption_raw_polarity,deepseek_fuel_consumption_legacy_compatible,deepseek_fuel_consumption_api_mentioned,uniform_local_fuel_consumption_mentioned,deepseek_configuration_raw_polarity,deepseek_configuration_legacy_compatible,deepseek_configuration_api_mentioned,uniform_local_configuration_mentioned,deepseek_intelligence_raw_polarity,deepseek_intelligence_legacy_compatible,deepseek_intelligence_api_mentioned,uniform_local_intelligence_mentioned,deepseek_value_raw_polarity,deepseek_value_legacy_compatible,deepseek_value_api_mentioned,uniform_local_value_mentioned,content_sha256
dongchedi::7491438597946495001,7491438597946495001,7491438597946495001,AION RT,2025-04-10 06:14:00,old_v1,dongchedi,,48,3.6,True,,,,0,legacy_deepseek_chat_2025,not_required,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,-1.0,-1,,1,0.0,0,,0,0.0,0,,0,0.0,0,,0,2efb2004b043f7b744d6108e07e6f1ef0b8846cbac5a092ff1b00601f478acac
dongchedi::7493421366155169817,7493421366155169817,7493421366155169817,AION RT,2025-04-15 14:38:00,old_v1,dongchedi,,208,4.5,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,1.0,1,,1,1.0,1,,0,1.0,1,,1,1.0,1,,1,1.0,1,,0,0.0,0,,0,-1.0,-1,,1,-1.0,-1,,1,1.0,1,,0,158ae09f72d80b6b43d54f6a75652b386744294652a3c436e2d63837945e2996
dongchedi::7495606915125219352,7495606915125219352,7495606915125219352,AION RT,2025-04-21 11:43:00,old_v1,dongchedi,,408,4.1,True,,,,-1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,1.0,1,,1,0.0,0,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,0.0,0,,0,-1.0,-1,,1,1.0,1,,1,0.0,0,,0,c9135ba403ed82f71680e8eae69614efba19374d4deba5db77996b4e01c382f0
dongchedi::7496484527083114520,7496484527083114520,7496484527083114520,AION RT,2025-04-23 20:28:00,old_v1,dongchedi,,433,4.4,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,0.0,0,,1,1.0,1,,1,1.0,1,,1,0.0,0,,0,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,e2e3cb9ecac760fe13742a75e38d80232c8be18afcc1b49f7580b14048bbe6a7
dongchedi::7497823389713715224,7497823389713715224,7497823389713715224,AION RT,2025-04-27 11:04:00,old_v1,dongchedi,,712,3.7,True,,,,1,legacy_deepseek_chat_2025,not_required,0.0,0,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,0.0,0,,0,0.0,0,,0,0.0,0,,0,01b793ffaf5e6bbb0ebb389ea73ceb47654bd964c3d5f3e338899c4c191aa3ae
dongchedi::7507774725318266905,7507774725318266905,7507774725318266905,AION RT,2025-05-24 06:56:00,old_v1,dongchedi,,340,4.8,True,,,,-1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,0.0,0,,0,1.0,1,,1,1.0,1,,1,0.0,0,,0,1.0,1,,1,1.0,1,,1,1.0,1,,0,-1.0,-1,,1,1.0,1,,1,dc0860a52cf1f325ea62559f8c3db166a9c7764385a49525d71abefa68c63a84
dongchedi::7518935507124899902,7518935507124899902,7518935507124899902,AION RT,2025-06-23 09:18:00,old_v1,dongchedi,,300,4.5,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,0,0.0,0,,0,1.0,1,,1,1.0,1,,1,0.0,0,,0,1.0,1,,0,1.0,1,,0,-1.0,-1,,0,1.0,1,,0,1.0,1,,1,334301eab5a2e81a0fa0d56924eb2196639195ac746f0f64ea8aed17cc526129
dongchedi::7521542004375834686,7521542004375834686,7521542004375834686,AION RT,2025-06-30 09:06:00,old_v1,dongchedi,,350,4.7,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,1.0,1,,1,1.0,1,,1,1.0,1,,1,0.0,0,,1,-1.0,-1,,1,1.0,1,,0,1.0,1,,0,-1.0,-1,,1,0.0,0,,0,31cb81d8173da83a34639570ffc48e1b562955ad941570dcc1efdc52ce42acbe
dongchedi::7524151441011789886,7524151441011789886,7524151441011789886,AION RT,2025-07-10 09:54:00,old_v1,dongchedi,,306,4.5,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,0,1.0,1,,0,1.0,1,,1,0.0,0,,0,0.0,0,,0,1.0,1,,0,0.0,0,,1,1.0,1,,0,-1.0,-1,,0,1.0,1,,0,dfaaaa1f3fe251e0ef89b621a20fbea1b6675abfefd6890e858b5d93a1db40fc
dongchedi::7527488020400836633,7527488020400836633,7527488020400836633,AION RT,2025-07-16 09:39:00,old_v1,dongchedi,,68,3.8,True,,,,1,legacy_deepseek_chat_2025,not_required,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,1,1.0,1,,1,0.0,0,,1,1.0,1,,1,0.0,0,,0,252b5636a5721785413d378c474e46447abac2432dd329ce5cb7c81e92301c2c
dongchedi::7552960871807340568,7552960871807340568,7552960871807340568,AION RT,2025-09-23 01:05:00,old_v1,dongchedi,,69,5.0,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,1,0.0,0,,0,0.0,0,,0,0.0,0,,0,1.0,1,,0,1.0,1,,1,0.0,0,,0,1.0,1,,1,1.0,1,,0,0.0,0,,0,c14b865a8237c3fe2283a6a44dd59757ff32f70410d47d31cbb2c38b4a3748b1
dongchedi::7561377163396534296,7561377163396534296,7561377163396534296,AION RT,2025-10-15 17:26:00,old_v1,dongchedi,,67,4.5,True,,,,1,legacy_deepseek_chat_2025,not_required,0.0,0,,0,1.0,1,,1,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,1,-1.0,-1,,1,-1.0,-1,,1,1.0,1,,1,71cd79ca01b8765ce44c99bb8c674f94e0ff363101c5153e3da01b0601cef273
dongchedi::7562441744332099609,7562441744332099609,7562441744332099609,AION RT,2025-10-18 14:16:00,old_v1,dongchedi,,97,4.2,True,,,,0,legacy_deepseek_chat_2025,not_required,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,1.0,1,,1,-1.0,-1,,1,0.0,0,,1,0.0,0,,0,1.0,1,,1,1.0,1,,1,dc378ac274ce31663c0a819d3e86274fdf6372500ebc68a8d8a2d9edbb9c8f12
dongchedi::7564074675689508926,7564074675689508926,7564074675689508926,AION RT,2025-10-22 23:57:00,old_v1,dongchedi,,51,3.1,True,,,,0,legacy_deepseek_chat_2025,not_required,0.0,0,,0,0.0,0,,1,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,1,-1.0,-1,,0,-1.0,-1,,1,0.0,0,,0,0.0,0,,0,ae08f2531baa7aa500a5c34cab12bbf2dde16d4244edec1a2d692c111dfdbdfe
dongchedi::7570654927588970520,7570654927588970520,7570654927588970520,AION RT,2025-11-09 17:34:00,old_v1,dongchedi,,31,4.2,True,,,,-1,legacy_deepseek_chat_2025,not_required,0.0,0,,0,0.0,0,,0,1.0,1,,1,0.0,0,,0,0.0,0,,0,-1.0,-1,,1,0.0,0,,1,0.0,0,,0,1.0,1,,1,0.0,0,,0,1081ca8a4ab55c8d1923c8e551a0daa0e2f71ed03d3171b153eea0e0193347db
dongchedi::7571377210368479257,7571377210368479257,7571377210368479257,AION RT,2025-11-11 16:15:00,old_v1,dongchedi,,61,4.1,True,,,,1,legacy_deepseek_chat_2025,not_required,0.0,0,,0,0.0,0,,0,1.0,1,,1,0.0,0,,0,0.0,0,,0,0.0,0,,0,-1.0,-1,,1,0.0,0,,0,-1.0,-1,,1,0.0,0,,0,2b0ffd0a2e829851f24795e7ea9babce90f37d62ac09f724023ce9039634a06b
dongchedi::7573332317859483710,7573332317859483710,7573332317859483710,AION RT,2025-11-16 22:41:00,old_v1,dongchedi,,178,3.8,True,,,,1,legacy_deepseek_chat_2025,not_required,1.0,1,,0,1.0,1,,1,0.0,0,,0,0.0,0,,0,1.0,1,,0,0.0,0,,1,-1.0,-1,,1,0.0,0,,1,1.0,1,,1,0.0,0,,0,9f125c26237c342cd40fc230e9ba05c48983854298c3a1ad584072bf4eca218b
dongchedi::7579621212570013720,7579621212570013720,7579621212570013720,AION RT,2025-12-03 21:23:00,old_v1,dongchedi,,35,4.2,True,,,,-1,legacy_deepseek_chat_2025,not_required,0.0,0,,0,-1.0,-1,,1,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,15ab4c75107f7863d283074dfe2bca6fbf6806c0bba8b51bb5e335b265bbc688
dongchedi::7581777325243519038,7581777325243519038,7581777325243519038,AION RT,2025-12-09 16:51:00,old_v1,dongchedi,,36,3.5,True,,,,1,legacy_deepseek_chat_2025,not_required,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,1.0,1,,1,0.0,0,,0,0.0,0,,0,0.0,0,,0,720b0d83f8098b30959f1847779ffb2bacfb76cec7872cfc377d890e0b05333d
dongchedi::7582414077280931902,7582414077280931902,7582414077280931902,AION RT,2025-12-11 10:09:00,old_v1,dongchedi,,44,5.0,True,,,,0,legacy_deepseek_chat_2025,not_required,0.0,0,,0,0.0,0,,0,0.0,0,,1,0.0,0,,0,1.0,1,,0,-1.0,-1,,1,0.0,0,,0,0.0,0,,1,0.0,0,,0,0.0,0,,0,9664fe6997290c11b516fd23c4893780bc155cf0f8c57b193aaace22e06cd515
dongchedi::7583491343524057150,7583491343524057150,7583491343524057150,AION RT,2025-12-14 07:49:00,old_v1,dongchedi,,49,4.1,True,,,,1,legacy_deepseek_chat_2025,not_required,0.0,0,,0,0.0,0,,0,-1.0,-1,,1,0.0,0,,0,0.0,0,,0,-1.0,-1,,0,1.0,1,,1,0.0,0,,0,0.0,0,,0,0.0,0,,0,d4570bc176f0bec324ce627e48102c0a4627bbf930ea647efcf5debbf300d368
dongchedi::7583556498085662744,7583556498085662744,7583556498085662744,AION RT,2025-12-14 11:52:00,old_v1,dongchedi,,46,3.4,True,,,,1,legacy_deepseek_chat_2025,not_required,0.0,0,,0,1.0,1,,1,1.0,1,,1,0.0,0,,0,0.0,0,,0,0.0,0,,0,-1.0,-1,,1,-1.0,-1,,0,0.0,0,,0,-1.0,-1,,1,3c84329497a89450c8673030b396e558800a22ed5d11cb98d0242adcdeb0d774
dongchedi::7583767405768232984,7583767405768232984,7583767405768232984,AION RT,2025-12-15 01:30:00,old_v1,dongchedi,,36,4.3,True,,,,0,legacy_deepseek_chat_2025,not_required,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,-1.0,-1,,0,0.0,0,,0,0.0,0,,0,-1.0,-1,,0,0.0,0,,0,0.0,0,,0,e0e17708f3f8e847e451a56b362b35433125a6aa81f09ca939e1a848fe776433
dongchedi::7584693937827237913,7584693937827237913,7584693937827237913,AION RT,2025-12-17 13:28:00,old_v1,dongchedi,,30,4.2,True,,,,0,legacy_deepseek_chat_2025,not_required,0.0,0,,0,1.0,1,,1,0.0,0,,0,-1.0,-1,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,-1.0,-1,,1,0.0,0,,0,0.0,0,,0,f2446ccc890f8385d0923887f78f83245043c5f9b4000c8621b120accc633eb1
dongchedi::7585009037033361432,7585009037033361432,7585009037033361432,AION RT,2025-12-18 09:48:00,old_v1,dongchedi,,40,4.1,True,,,,-1,legacy_deepseek_chat_2025,not_required,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,0.0,0,,0,-1.0,-1,,1,0.0,0,,0,0.0,0,,0,0.0,0,,0,a09b535d0ff70c67309d703eeeb5a4bd09e40603ed3e562bbcb5859ea0bb3de5
dongchedi::7585563874343014424,7585563874343014424,7585563874343014424,AION RT,2025-12-19 21:41:00,old_v1,dongchedi,,35,5.0,True,,,,0,legacy_deepseek_chat_2025,not_required,0.0,0,,0,0.0,0,,0,0.0,0,,0,1.0,1,,1,0.0,0,,0,1.0,1,,0,0.0,0,,1,0.0,0,,0,0.0,0,,0,0.0,0,,0,be0c973efc67dd47f42abf893aa8af9d1a1ce3e652c360fa56fad52082766757
