identity,review_id,series_name,publish_time,corpus_source,content_chars,content_sha256,legacy_absa_available,prompt_version,requested_model,batch_id,batch_size,success,error,scored_at,appearance_mentioned,appearance_polarity,legacy_compatible_appearance,interior_mentioned,interior_polarity,legacy_compatible_interior,space_mentioned,space_polarity,legacy_compatible_space,power_mentioned,power_polarity,legacy_compatible_power,control_mentioned,control_polarity,legacy_compatible_control,comfort_mentioned,comfort_polarity,legacy_compatible_comfort,fuel_consumption_mentioned,fuel_consumption_polarity,legacy_compatible_fuel_consumption,configuration_mentioned,configuration_polarity,legacy_compatible_configuration,intelligence_mentioned,intelligence_polarity,legacy_compatible_intelligence,value_mentioned,value_polarity,legacy_compatible_value
dongchedi::7001698514459693092,7001698514459693092,AION S,2021-08-29 12:06:00,old_v1,505,42ca74ea683227cfed392a23d9093660136c72c2504f9289b1d0b4be76b535ae,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,9ed01db6e09483cc,10,True,,2026-08-24T09:09:15.662155+00:00,True,1.0,1,True,1.0,1,True,1.0,1,False,,0,False,,0,False,,0,True,1.0,1,False,,0,True,1.0,1,False,,0
dongchedi::7007332530328178721,7007332530328178721,AION S,2021-09-13 16:29:00,old_v1,1021,44c500b33e769abccf8e08baab74f32e3907e92baf9bf1137e3d9840e3acfc67,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,42d021e37607105d,10,True,,2026-08-24T08:46:03.093451+00:00,True,1.0,1,True,1.0,1,False,,0,True,1.0,1,False,,0,True,1.0,1,True,1.0,1,False,,0,True,0.0,0,True,1.0,1
dongchedi::7008041605575741453,7008041605575741453,AION S,2021-09-15 14:20:00,old_v1,360,977b96cffee60a93e62cad5d7df239f1f3353529bfc4d89806767c2de7732aae,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,da53124752318b03,10,True,,2026-08-24T08:09:57.650941+00:00,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,False,,0,True,1.0,1,True,1.0,1,True,1.0,1
dongchedi::7008165945118036006,7008165945118036006,AION S,2021-09-15 22:23:00,old_v1,643,2998415a91de74168640b2a20a4f3a84d74d9a2ece9b95bdfa6895f67188c130,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,5e365a04c6bcb3b3,10,True,,2026-08-24T08:24:43.235027+00:00,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,-1.0,-1,True,1.0,1,True,1.0,1
dongchedi::7011108099654160391,7011108099654160391,AION S,2021-09-23 20:40:00,old_v1,1910,e35f5e481d25eb0d0d891bd4ed353f95e8157f7d2569266035694bd2ce0079d9,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,d6adc36769736aeb,10,True,,2026-08-24T09:05:17.474374+00:00,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,-1.0,-1,True,1.0,1,True,0.0,0,True,-1.0,-1,True,-1.0,-1,True,0.0,0
dongchedi::7023580396881186855,7023580396881186855,AION S,2021-10-27 11:19:00,old_v1,406,25a624f0e7d6f58ed21645f7b1959adec3e7aee8d7981f502e78289d11c6baf5,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,846ac6858deafcf2,10,True,,2026-08-24T08:11:41.388827+00:00,True,1.0,1,True,-1.0,-1,True,-1.0,-1,True,1.0,1,False,,0,False,,0,True,1.0,1,False,,0,True,-1.0,-1,True,1.0,1
dongchedi::7025852381673820191,7025852381673820191,AION S,2021-11-02 14:15:00,old_v1,1286,5c963eede3007ec6a2997cbabfb00613418123d12409bbda94130bb27123981d,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,2920b1106901d3a5,10,True,,2026-08-24T08:57:07.715212+00:00,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,-1.0,-1,True,1.0,1,True,1.0,1,False,,0,True,1.0,1,True,1.0,1
dongchedi::7031909227232759839,7031909227232759839,AION S,2021-11-18 21:59:00,old_v1,1370,f73c4a4dc9c475a17e6f3bc5d711a6ea1cf169f73deee693915695bef05ae2f2,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,73769774ffa0aa86,10,True,,2026-08-24T08:58:41.301299+00:00,False,,0,False,,0,True,1.0,1,True,1.0,1,False,,0,True,1.0,1,True,1.0,1,False,,0,True,1.0,1,True,1.0,1
dongchedi::7034734121377075236,7034734121377075236,AION S,2021-11-26 12:41:00,old_v1,890,39cc74315e8050a32d95c327508efce9f4fb3fd8fc094f0d4b350ea9ec354c8b,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,3e38cbf50aa4e672,10,True,,2026-08-24T08:39:38.374164+00:00,True,1.0,1,True,1.0,1,False,,0,True,1.0,1,True,1.0,1,True,1.0,1,False,,0,False,,0,True,1.0,1,False,,0
dongchedi::7037745429097746445,7037745429097746445,AION S,2021-12-04 15:26:00,old_v1,641,2b1c9ab8f4db5f78f7fa13f4cf95ef3e65538ac3518aa0d40f3087bf160c2678,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,8a0db22bdccd3974,10,True,,2026-08-24T08:24:30.510196+00:00,False,,0,True,-1.0,-1,True,1.0,1,True,1.0,1,False,,0,True,1.0,1,False,,0,False,,0,False,,0,True,-1.0,-1
dongchedi::7046020668525121551,7046020668525121551,AION S,2021-12-26 22:38:00,old_v1,344,42b49c6dccac1330665294dc0f3fe6fb19592b1f50f37b7b018d2df7fc8b15b6,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,f1885aa1ab6a241a,10,True,,2026-08-24T08:09:09.866613+00:00,False,,0,True,-1.0,-1,True,1.0,1,True,1.0,1,True,1.0,1,True,-1.0,-1,True,-1.0,-1,False,,0,True,-1.0,-1,False,,0
dongchedi::7651895532318625817,7651895532318625817,AION UT,2026-06-16 15:42:00,old_v1,377,1e87c3becd1baf33ca2e84b23fdcabd72c05b0fef2e71b5522dfef346b9fc6b2,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,98020be9c3c6107f,10,True,,2026-08-24T08:10:36.557951+00:00,False,,0,False,,0,False,,0,True,1.0,1,True,1.0,1,False,,0,True,1.0,1,True,-1.0,-1,True,1.0,1,False,,0
dongchedi::7651964862460858393,7651964862460858393,AION UT,2026-06-16 22:22:00,old_v1,516,8c4b72ce467f6e35e0d1a46264769052af13c52a907a1c837e959d3b13210bc7,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,7f4217729fdaab57,10,True,,2026-08-24T09:09:29.319317+00:00,True,1.0,1,True,1.0,1,True,1.0,1,False,,0,False,,0,True,1.0,1,True,1.0,1,False,,0,True,1.0,1,True,1.0,1
dongchedi::7653118508053565465,7653118508053565465,AION UT,2026-06-19 22:48:00,old_v1,116,d21adb4d19156ce1a59d4158b530def2d07e1c5f31a3f47da19529a2c3c7d2ec,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,0d6cecb4238fc7f9,10,True,,2026-08-24T08:04:06.913097+00:00,False,,0,False,,0,False,,0,False,,0,False,,0,False,,0,True,1.0,1,False,,0,True,-1.0,-1,False,,0
dongchedi::7654522381540528152,7654522381540528152,AION UT,2026-06-23 17:44:00,old_v1,402,c453c67607ef5f1e62158b67f034ad4634327af73d560f99be500d6a0a1dd5c5,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,cd9eb1d21f408c9a,10,True,,2026-08-24T08:11:33.133110+00:00,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,False,,0,True,1.0,1,True,1.0,1,True,1.0,1
dongchedi::7659239325569142846,7659239325569142846,AION UT,2026-07-06 18:24:00,old_v1,365,05c447d1fc1585497a3da20e491c13d4acf2e1e1f6d516f82531ef5b8e638ca6,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,961f917d195658f4,10,True,,2026-08-24T08:10:12.277992+00:00,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1
autohome::01fy0mf6b16grkjchr6wwg0000,01fy0mf6b16grkjchr6wwg0000,EVOS,2022-03-13 00:00:00,autohome_incremental,1153,0955dacbcea06c10f279d33392f0e9195bc9e1acfdeb1a4352f36193de3bf91c,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,f1e8f11810673d97,10,True,,2026-08-24T08:53:38.827341+00:00,True,1.0,1,True,0.0,0,True,1.0,1,True,1.0,1,True,-1.0,-1,True,1.0,1,True,1.0,1,True,-1.0,-1,True,-1.0,-1,True,-1.0,-1
autohome::01fy166e676grkjcsn74s00000,01fy166e676grkjcsn74s00000,EVOS,2022-03-13 00:00:00,autohome_incremental,1491,ade68125a14e487dce96745a1452044e67e31621f7d6e9719e5d19bd1e9c7b03,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,3c1906b4fab8234e,10,True,,2026-08-24T09:00:45.175187+00:00,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,0.0,0,True,0.0,0,True,0.0,0,True,1.0,1,True,-1.0,-1,True,-1.0,-1
autohome::01gammmjf96gtk6d1h6ctg0000,01gammmjf96gtk6d1h6ctg0000,EVOS,2022-08-17 00:00:00,autohome_incremental,767,d25b8cc85b60209d629dc18d278daab80536c1805a49581b057b4e50bd8fe6cb,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,bdf64a491629b9aa,10,True,,2026-08-24T08:33:45.781817+00:00,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,False,,0,False,,0,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1
autohome::01g3rve65s6gskcdss60vg0000,01g3rve65s6gskcdss60vg0000,EVOS,2023-03-18 00:00:00,autohome_incremental,1247,77fa7ca56d5d8ab2e3ae14594de4f2ccfef407c2ce5811585b369313a834d027,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,098294b38dd6803f,10,True,,2026-08-24T08:56:06.412423+00:00,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,0.0,0,True,-1.0,-1,True,1.0,1,True,-1.0,-1,True,1.0,1
autohome::01gxwx2h6d6gwk0dsq68sg0000,01gxwx2h6d6gwk0dsq68sg0000,EVOS,2023-04-13 00:00:00,autohome_incremental,881,65cb5f832dfc3c358b780eeacf6416b9ce6463c804712c97918d26a070a9eacc,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,965b4ab92464548f,10,True,,2026-08-24T08:39:04.593980+00:00,True,1.0,1,True,1.0,1,True,-1.0,-1,True,1.0,1,True,-1.0,-1,True,1.0,1,True,-1.0,-1,True,1.0,1,True,1.0,1,True,-1.0,-1
autohome::01h0t031pg6gwkce1q70vg0000,01h0t031pg6gwkce1q70vg0000,EVOS,2023-05-19 00:00:00,autohome_incremental,1080,35a884968da99b92d4868f807653c5377141026716fd13aa8d3e50fde2197339,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,c359f54225a5b060,10,True,,2026-08-24T08:48:18.182245+00:00,True,1.0,1,True,0.0,0,True,1.0,1,True,1.0,1,False,,0,True,-1.0,-1,True,1.0,1,True,-1.0,-1,False,,0,True,1.0,1
autohome::01h1tzxd0a6gwkge9r6mt00000,01h1tzxd0a6gwkge9r6mt00000,EVOS,2023-06-01 00:00:00,autohome_incremental,960,4751b81da6d15d8618c464858803266e44aa77af5f4e17fcc14d75634a39b88e,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,285e033ae190908c,10,True,,2026-08-24T08:43:17.093577+00:00,True,1.0,1,True,1.0,1,True,-1.0,-1,True,1.0,1,True,1.0,1,False,,0,True,1.0,1,True,1.0,1,False,,0,True,1.0,1
autohome::01h2t1v8kt6mr30dsg68v00000,01h2t1v8kt6mr30dsg68v00000,EVOS,2023-06-13 00:00:00,autohome_incremental,1099,ed27ff3a92291ab5b26776205f7d029fc055d1411e1f6fed2a7c09a64bb86d69,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,15cd368a1acee4c2,10,True,,2026-08-24T08:49:03.942669+00:00,True,1.0,1,True,0.0,0,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1
autohome::01h8hknnct6mrk2dhm6rr00000,01h8hknnct6mrk2dhm6rr00000,EVOS,2023-08-24 00:00:00,autohome_incremental,689,4b0a4d4cd061802dd838e3750392b830153dfe19d0034cff1c0db18c27b33377,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,a6d798929337f97e,10,True,,2026-08-24T09:10:18.434907+00:00,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,0.0,0,True,1.0,1,True,1.0,1,True,1.0,1
autohome::01hbz6qmx26mrked9q68rg0000,01hbz6qmx26mrked9q68rg0000,EVOS,2025-07-06 00:00:00,autohome_incremental,3831,899324d54b25112eb929ec52e53928c0851582b49663a96878e2e2954e9c69ad,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,ff3ed50f2b22d57c,10,True,,2026-08-24T09:07:54.883583+00:00,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,-1.0,-1,True,0.0,0,True,1.0,1,True,-1.0,-1,True,1.0,1
dongchedi::6906343952706703374,6906343952706703374,ID.4 CROZZ,2020-12-15 13:01:00,old_v1,1189,9488c5f5bc7b7042a28d8ecd8af765f1b7d44ad17a1807732a475d8174a0c9d6,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,7b9bdfd3aee3df47,10,True,,2026-08-24T08:54:40.543995+00:00,True,1.0,1,True,1.0,1,True,1.0,1,False,,0,False,,0,False,,0,False,,0,True,1.0,1,True,1.0,1,False,,0
dongchedi::6951291562303164429,6951291562303164429,ID.4 CROZZ,2021-04-15 16:05:00,old_v1,1066,be5f7a5b90d922d5fa07c0db4c8a8632342f5fdfdc7d5b9b8335189131ac5ad5,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,925262873f2fda77,10,True,,2026-08-24T08:47:51.436598+00:00,False,,0,False,,0,True,-1.0,-1,True,1.0,1,True,1.0,1,True,1.0,1,False,,0,True,1.0,1,True,-1.0,-1,True,1.0,1
dongchedi::6952864178537238564,6952864178537238564,ID.4 CROZZ,2021-04-19 22:09:00,old_v1,1212,58ae435ecc4b02cc3e4fdf1ce64424734c4d52eee9cf95e6bf439302ddf86c7f,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,59d447ade63c260e,10,True,,2026-08-24T08:55:14.892736+00:00,False,,0,False,,0,False,,0,True,1.0,1,True,1.0,1,False,,0,True,1.0,1,False,,0,True,-1.0,-1,False,,0
dongchedi::6954502109777629221,6954502109777629221,ID.4 CROZZ,2021-04-24 08:24:00,old_v1,1346,277f09158b3fabec834b15a5c8cff3c62846bd12cf69178acddb5baa947fa875,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,27fc220ed0467920,10,True,,2026-08-24T08:58:14.337298+00:00,True,1.0,1,False,,0,False,,0,False,,0,True,1.0,1,True,1.0,1,True,1.0,1,False,,0,True,1.0,1,True,1.0,1
dongchedi::6962731051877666846,6962731051877666846,ID.4 CROZZ,2021-05-16 11:52:00,old_v1,1056,2f5801299d034f3302a1af8deb3651e6d5b5c52e905fac4dd45657c83189a322,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,b06fef323f129e7c,10,True,,2026-08-24T08:47:22.087568+00:00,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,False,,0,False,,0,False,,0,True,1.0,1,False,,0
dongchedi::6966875734866399268,6966875734866399268,ID.4 CROZZ,2021-05-27 15:56:00,old_v1,1500,7896ab91684f1e0e047ca3abff8f8cb89d7c34914d30f671343c33c5814557d2,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,e157a3c22bbf0f4b,10,True,,2026-08-24T09:00:57.392825+00:00,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,False,,0,True,1.0,1,True,1.0,1
dongchedi::6967713491213881374,6967713491213881374,ID.4 CROZZ,2021-05-30 10:36:00,old_v1,1242,879c4a78427cdcf7acc123795602b030addb7bab47cc0b249b162890dcc5beb7,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,c9546ecaeed9d9c5,10,True,,2026-08-24T08:55:56.781438+00:00,True,1.0,1,False,,0,False,,0,False,,0,True,1.0,1,False,,0,True,1.0,1,False,,0,True,1.0,1,True,1.0,1
dongchedi::6968053043048747015,6968053043048747015,ID.4 CROZZ,2021-05-30 20:04:00,old_v1,279,e11c4c5b224e1920fe9915e438349c9ce5932af061bde454888fd9aea9fa4c95,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,26571ff6922cbe0a,10,True,,2026-08-24T08:06:13.514590+00:00,True,1.0,1,True,1.0,1,False,,0,False,,0,True,1.0,1,False,,0,False,,0,True,1.0,1,True,1.0,1,True,1.0,1
dongchedi::6969097461071613989,6969097461071613989,ID.4 CROZZ,2021-06-02 15:37:00,old_v1,698,2a282b8ae62185ee0e5d6d8f5328f11011e174f6dbe3b5f09aa507be96557ae5,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,3fa675b2dc4cc9d8,10,True,,2026-08-24T09:10:27.140503+00:00,True,1.0,1,True,1.0,1,False,,0,True,0.0,0,False,,0,False,,0,False,,0,False,,0,True,1.0,1,False,,0
dongchedi::6973255153319153677,6973255153319153677,ID.4 CROZZ,2021-06-13 20:31:00,old_v1,511,d9eeb00c634915366e04755de3333ad91a50c9d528baf2885958e9dce1235f09,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,d6d153436998430f,10,True,,2026-08-24T09:09:24.688705+00:00,True,1.0,1,False,,0,False,,0,False,,0,True,-1.0,-1,True,-1.0,-1,False,,0,True,1.0,1,True,-1.0,-1,False,,0
dongchedi::6981821808018198564,6981821808018198564,ID.4 CROZZ,2021-07-06 22:34:00,old_v1,830,266acb72d2ff4a8832ebed4bacd7169e495f2e70b7c508f7d400b1b782bd49f2,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,d38e5e4f1ac5d84c,10,True,,2026-08-24T08:36:21.680977+00:00,False,,0,True,1.0,1,False,,0,True,1.0,1,True,1.0,1,True,1.0,1,False,,0,False,,0,False,,0,False,,0
dongchedi::6983243692811227149,6983243692811227149,ID.4 CROZZ,2021-07-11 00:47:00,old_v1,1994,efc4ab4853e162587a50475abe5f01e8e10bec3b37ca84d1aa2de0e9129e3044,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,588da9f05d446565,9,True,,2026-08-24T06:29:56.648654+00:00,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1
dongchedi::6986656386423721987,6986656386423721987,ID.4 CROZZ,2021-07-19 23:15:00,old_v1,751,c2d1ddb4b1536b4b110560589f146774ccf1c6a6ed7698f419f67d548d5180e5,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,166800b8d9588e03,10,True,,2026-08-24T08:33:09.249409+00:00,False,,0,False,,0,True,0.0,0,True,1.0,1,True,1.0,1,True,1.0,1,True,1.0,1,False,,0,True,-1.0,-1,True,1.0,1
dongchedi::6989023895214886953,6989023895214886953,ID.4 CROZZ,2021-07-26 08:22:00,old_v1,634,1d98dec491202f81c384a566bd55d5841ba215ab786f2b303e3629ba9fcb86ae,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,cb37fe67bd6135d3,10,True,,2026-08-24T08:24:13.548702+00:00,False,,0,False,,0,True,0.0,0,True,1.0,1,True,-1.0,-1,False,,0,True,1.0,1,False,,0,True,1.0,1,True,1.0,1
dongchedi::6996873738864037901,6996873738864037901,ID.4 CROZZ,2021-08-16 12:03:00,old_v1,646,728286d7b0553af6dda0a07ab9fa8c4013a2adb09a898793629821cb51458498,False,autopulse_compact_backfill_v1_2026-08-24,deepseek-v4-flash,942b3205b491d4f8,10,True,,2026-08-24T08:24:48.041840+00:00,True,1.0,1,True,1.0,1,False,,0,True,0.0,0,True,0.0,0,True,1.0,1,True,1.0,1,False,,0,True,1.0,1,False,,0
