series_name,date,split
EVOS,2025-07-01,val
EVOS,2025-08-01,val
EVOS,2025-09-01,val
EVOS,2025-10-01,val
EVOS,2025-11-01,val
EVOS,2025-12-01,val
EVOS,2026-01-01,test
EVOS,2026-02-01,test
EVOS,2026-03-01,test
EVOS,2026-04-01,test
EVOS,2026-05-01,test
EVOS,2026-06-01,test
ID.4 CROZZ,2022-01-01,train
ID.4 CROZZ,2022-02-01,train
ID.4 CROZZ,2022-03-01,train
ID.4 CROZZ,2022-04-01,train
ID.4 CROZZ,2022-05-01,train
ID.4 CROZZ,2022-06-01,train
ID.4 CROZZ,2022-07-01,train
ID.4 CROZZ,2022-08-01,train
ID.4 CROZZ,2022-09-01,train
ID.4 CROZZ,2022-10-01,train
ID.4 CROZZ,2022-11-01,train
ID.4 CROZZ,2022-12-01,train
ID.4 CROZZ,2023-01-01,train
ID.4 CROZZ,2023-02-01,train
ID.4 CROZZ,2023-03-01,train
ID.4 CROZZ,2023-04-01,train
ID.4 CROZZ,2023-05-01,train
ID.4 CROZZ,2023-06-01,train
ID.4 CROZZ,2023-07-01,train
ID.4 CROZZ,2023-08-01,train
ID.4 CROZZ,2023-09-01,train
ID.4 CROZZ,2023-10-01,train
ID.4 CROZZ,2023-11-01,train
ID.4 CROZZ,2023-12-01,train
ID.4 CROZZ,2024-01-01,train
ID.4 CROZZ,2024-02-01,train
ID.4 CROZZ,2024-03-01,train
ID.4 CROZZ,2024-04-01,train
ID.4 CROZZ,2024-05-01,train
ID.4 CROZZ,2024-06-01,train
ID.4 CROZZ,2024-07-01,train
ID.4 CROZZ,2024-08-01,train
ID.4 CROZZ,2024-09-01,train
ID.4 CROZZ,2024-10-01,train
ID.4 CROZZ,2024-11-01,train
ID.4 CROZZ,2024-12-01,train
ID.4 CROZZ,2025-01-01,train
ID.4 CROZZ,2025-02-01,train
ID.4 CROZZ,2025-03-01,train
ID.4 CROZZ,2025-04-01,train
ID.4 CROZZ,2025-05-01,train
ID.4 CROZZ,2025-06-01,train
ID.4 CROZZ,2025-07-01,val
ID.4 CROZZ,2025-08-01,val
ID.4 CROZZ,2025-09-01,val
ID.4 CROZZ,2025-10-01,val
ID.4 CROZZ,2025-11-01,val
ID.4 CROZZ,2025-12-01,val
ID.4 CROZZ,2026-01-01,test
ID.4 CROZZ,2026-02-01,test
ID.4 CROZZ,2026-03-01,test
ID.4 CROZZ,2026-04-01,test
ID.4 CROZZ,2026-05-01,test
ID.4 CROZZ,2026-06-01,test
ID.4 X,2022-01-01,train
ID.4 X,2022-02-01,train
ID.4 X,2022-03-01,train
ID.4 X,2022-04-01,train
ID.4 X,2022-05-01,train
ID.4 X,2022-06-01,train
ID.4 X,2022-07-01,train
ID.4 X,2022-08-01,train
ID.4 X,2022-09-01,train
ID.4 X,2022-10-01,train
ID.4 X,2022-11-01,train
ID.4 X,2022-12-01,train
ID.4 X,2023-01-01,train
ID.4 X,2023-02-01,train
ID.4 X,2023-03-01,train
ID.4 X,2023-04-01,train
ID.4 X,2023-05-01,train
ID.4 X,2023-06-01,train
ID.4 X,2023-07-01,train
ID.4 X,2023-08-01,train
ID.4 X,2023-09-01,train
ID.4 X,2023-10-01,train
ID.4 X,2023-11-01,train
ID.4 X,2023-12-01,train
ID.4 X,2024-01-01,train
ID.4 X,2024-02-01,train
ID.4 X,2024-03-01,train
ID.4 X,2024-04-01,train
ID.4 X,2024-05-01,train
ID.4 X,2024-06-01,train
ID.4 X,2024-07-01,train
ID.4 X,2024-08-01,train
ID.4 X,2024-09-01,train
ID.4 X,2024-10-01,train
ID.4 X,2024-11-01,train
ID.4 X,2024-12-01,train
ID.4 X,2025-01-01,train
ID.4 X,2025-02-01,train
ID.4 X,2025-03-01,train
ID.4 X,2025-04-01,train
ID.4 X,2025-05-01,train
ID.4 X,2025-06-01,train
ID.4 X,2025-07-01,val
ID.4 X,2025-08-01,val
ID.4 X,2025-09-01,val
ID.4 X,2025-10-01,val
ID.4 X,2025-11-01,val
ID.4 X,2025-12-01,val
ID.4 X,2026-01-01,test
ID.4 X,2026-02-01,test
ID.4 X,2026-03-01,test
ID.4 X,2026-04-01,test
ID.4 X,2026-05-01,test
ID.4 X,2026-06-01,test
ID.6 CROZZ,2022-01-01,train
ID.6 CROZZ,2022-02-01,train
ID.6 CROZZ,2022-03-01,train
ID.6 CROZZ,2022-04-01,train
ID.6 CROZZ,2022-05-01,train
ID.6 CROZZ,2022-06-01,train
ID.6 CROZZ,2022-07-01,train
ID.6 CROZZ,2022-08-01,train
ID.6 CROZZ,2022-09-01,train
ID.6 CROZZ,2022-10-01,train
ID.6 CROZZ,2022-11-01,train
ID.6 CROZZ,2022-12-01,train
ID.6 CROZZ,2023-01-01,train
ID.6 CROZZ,2023-02-01,train
ID.6 CROZZ,2023-03-01,train
ID.6 CROZZ,2023-04-01,train
ID.6 CROZZ,2023-05-01,train
ID.6 CROZZ,2023-06-01,train
ID.6 CROZZ,2023-07-01,train
ID.6 CROZZ,2023-08-01,train
ID.6 CROZZ,2023-09-01,train
ID.6 CROZZ,2023-10-01,train
ID.6 CROZZ,2023-11-01,train
ID.6 CROZZ,2023-12-01,train
ID.6 CROZZ,2024-01-01,train
ID.6 CROZZ,2024-02-01,train
ID.6 CROZZ,2024-03-01,train
ID.6 CROZZ,2024-04-01,train
ID.6 CROZZ,2024-05-01,train
ID.6 CROZZ,2024-06-01,train
ID.6 CROZZ,2024-07-01,train
ID.6 CROZZ,2024-08-01,train
ID.6 CROZZ,2024-09-01,train
ID.6 CROZZ,2024-10-01,train
ID.6 CROZZ,2024-11-01,train
ID.6 CROZZ,2024-12-01,train
ID.6 CROZZ,2025-01-01,train
ID.6 CROZZ,2025-02-01,train
ID.6 CROZZ,2025-03-01,train
ID.6 CROZZ,2025-04-01,train
ID.6 CROZZ,2025-05-01,train
ID.6 CROZZ,2025-06-01,train
ID.6 CROZZ,2025-07-01,val
ID.6 CROZZ,2025-08-01,val
ID.6 CROZZ,2025-09-01,val
ID.6 CROZZ,2025-10-01,val
ID.6 CROZZ,2025-11-01,val
ID.6 CROZZ,2025-12-01,val
ID.6 CROZZ,2026-01-01,test
ID.6 CROZZ,2026-02-01,test
ID.6 CROZZ,2026-03-01,test
ID.6 CROZZ,2026-04-01,test
ID.6 CROZZ,2026-05-01,test
ID.6 CROZZ,2026-06-01,test
IQ傲歌,2022-01-01,train
IQ傲歌,2022-02-01,train
IQ傲歌,2022-03-01,train
IQ傲歌,2022-04-01,train
IQ傲歌,2022-05-01,train
IQ傲歌,2022-06-01,train
IQ傲歌,2022-07-01,train
IQ傲歌,2022-08-01,train
IQ傲歌,2022-09-01,train
IQ傲歌,2022-10-01,train
IQ傲歌,2022-11-01,train
IQ傲歌,2022-12-01,train
IQ傲歌,2023-01-01,train
IQ傲歌,2023-02-01,train
IQ傲歌,2023-03-01,train
IQ傲歌,2023-04-01,train
IQ傲歌,2023-05-01,train
IQ傲歌,2023-06-01,train
IQ傲歌,2023-07-01,train
IQ傲歌,2023-08-01,train
IQ傲歌,2023-09-01,train
IQ傲歌,2023-10-01,train
IQ傲歌,2023-11-01,train
IQ傲歌,2023-12-01,train
IQ傲歌,2024-01-01,train
IQ傲歌,2024-02-01,train
IQ傲歌,2024-03-01,train
IQ傲歌,2024-04-01,train
IQ傲歌,2024-05-01,train
IQ傲歌,2024-06-01,train
IQ傲歌,2024-07-01,train
IQ傲歌,2024-08-01,train
IQ傲歌,2024-09-01,train
IQ傲歌,2024-10-01,train
IQ傲歌,2024-11-01,train
IQ傲歌,2024-12-01,train
IQ傲歌,2025-01-01,train
IQ傲歌,2025-02-01,train
IQ傲歌,2025-03-01,train
IQ傲歌,2025-04-01,train
IQ傲歌,2025-05-01,train
IQ傲歌,2025-06-01,train
IQ傲歌,2025-07-01,val
IQ傲歌,2025-08-01,val
IQ傲歌,2025-09-01,val
IQ傲歌,2025-10-01,val
IQ傲歌,2025-11-01,val
IQ傲歌,2025-12-01,val
IQ傲歌,2026-01-01,test
IQ傲歌,2026-02-01,test
IQ傲歌,2026-03-01,test
IQ傲歌,2026-04-01,test
IQ傲歌,2026-05-01,test
IQ傲歌,2026-06-01,test
IQ锐歌,2022-01-01,train
IQ锐歌,2022-02-01,train
IQ锐歌,2022-03-01,train
IQ锐歌,2022-04-01,train
IQ锐歌,2022-05-01,train
IQ锐歌,2022-06-01,train
IQ锐歌,2022-07-01,train
IQ锐歌,2022-08-01,train
IQ锐歌,2022-09-01,train
IQ锐歌,2022-10-01,train
IQ锐歌,2022-11-01,train
IQ锐歌,2022-12-01,train
IQ锐歌,2023-01-01,train
IQ锐歌,2023-02-01,train
IQ锐歌,2023-03-01,train
IQ锐歌,2023-04-01,train
IQ锐歌,2023-05-01,train
IQ锐歌,2023-06-01,train
IQ锐歌,2023-07-01,train
IQ锐歌,2023-08-01,train
IQ锐歌,2023-09-01,train
IQ锐歌,2023-10-01,train
IQ锐歌,2023-11-01,train
IQ锐歌,2023-12-01,train
IQ锐歌,2024-01-01,train
IQ锐歌,2024-02-01,train
IQ锐歌,2024-03-01,train
IQ锐歌,2024-04-01,train
IQ锐歌,2024-05-01,train
IQ锐歌,2024-06-01,train
IQ锐歌,2024-07-01,train
IQ锐歌,2024-08-01,train
IQ锐歌,2024-09-01,train
IQ锐歌,2024-10-01,train
IQ锐歌,2024-11-01,train
IQ锐歌,2024-12-01,train
IQ锐歌,2025-01-01,train
IQ锐歌,2025-02-01,train
IQ锐歌,2025-03-01,train
IQ锐歌,2025-04-01,train
IQ锐歌,2025-05-01,train
IQ锐歌,2025-06-01,train
IQ锐歌,2025-07-01,val
IQ锐歌,2025-08-01,val
IQ锐歌,2025-09-01,val
IQ锐歌,2025-10-01,val
IQ锐歌,2025-11-01,val
IQ锐歌,2025-12-01,val
IQ锐歌,2026-01-01,test
IQ锐歌,2026-02-01,test
IQ锐歌,2026-03-01,test
IQ锐歌,2026-04-01,test
IQ锐歌,2026-05-01,test
IQ锐歌,2026-06-01,test
MG4,2022-01-01,train
MG4,2022-02-01,train
MG4,2022-03-01,train
MG4,2022-04-01,train
MG4,2022-05-01,train
MG4,2022-06-01,train
MG4,2022-07-01,train
MG4,2022-08-01,train
MG4,2022-09-01,train
MG4,2022-10-01,train
MG4,2022-11-01,train
MG4,2022-12-01,train
MG4,2023-01-01,train
MG4,2023-02-01,train
MG4,2023-03-01,train
MG4,2023-04-01,train
MG4,2023-05-01,train
MG4,2023-06-01,train
MG4,2023-07-01,train
MG4,2023-08-01,train
MG4,2023-09-01,train
MG4,2023-10-01,train
MG4,2023-11-01,train
MG4,2023-12-01,train
MG4,2024-01-01,train
MG4,2024-02-01,train
MG4,2024-03-01,train
MG4,2024-04-01,train
MG4,2024-05-01,train
MG4,2024-06-01,train
MG4,2024-07-01,train
MG4,2024-08-01,train
MG4,2024-09-01,train
MG4,2024-10-01,train
MG4,2024-11-01,train
MG4,2024-12-01,train
MG4,2025-01-01,train
MG4,2025-02-01,train
MG4,2025-03-01,train
MG4,2025-04-01,train
MG4,2025-05-01,train
MG4,2025-06-01,train
MG4,2025-07-01,val
MG4,2025-08-01,val
MG4,2025-09-01,val
MG4,2025-10-01,val
MG4,2025-11-01,val
MG4,2025-12-01,val
MG4,2026-01-01,test
MG4,2026-02-01,test
MG4,2026-03-01,test
MG4,2026-04-01,test
MG4,2026-05-01,test
MG4,2026-06-01,test
MG6,2022-01-01,train
MG6,2022-02-01,train
MG6,2022-03-01,train
MG6,2022-04-01,train
MG6,2022-05-01,train
MG6,2022-06-01,train
MG6,2022-07-01,train
MG6,2022-08-01,train
MG6,2022-09-01,train
MG6,2022-10-01,train
MG6,2022-11-01,train
MG6,2022-12-01,train
MG6,2023-01-01,train
MG6,2023-02-01,train
MG6,2023-03-01,train
MG6,2023-04-01,train
MG6,2023-05-01,train
MG6,2023-06-01,train
MG6,2023-07-01,train
MG6,2023-08-01,train
MG6,2023-09-01,train
MG6,2023-10-01,train
MG6,2023-11-01,train
MG6,2023-12-01,train
MG6,2024-01-01,train
MG6,2024-02-01,train
MG6,2024-03-01,train
MG6,2024-04-01,train
MG6,2024-05-01,train
MG6,2024-06-01,train
MG6,2024-07-01,train
MG6,2024-08-01,train
MG6,2024-09-01,train
MG6,2024-10-01,train
MG6,2024-11-01,train
MG6,2024-12-01,train
MG6,2025-01-01,train
MG6,2025-02-01,train
MG6,2025-03-01,train
MG6,2025-04-01,train
MG6,2025-05-01,train
MG6,2025-06-01,train
MG6,2025-07-01,val
MG6,2025-08-01,val
MG6,2025-09-01,val
MG6,2025-10-01,val
MG6,2025-11-01,val
MG6,2025-12-01,val
MG6,2026-01-01,test
MG6,2026-02-01,test
MG6,2026-03-01,test
MG6,2026-04-01,test
MG6,2026-05-01,test
MG6,2026-06-01,test
MG7,2022-01-01,train
MG7,2022-02-01,train
MG7,2022-03-01,train
MG7,2022-04-01,train
MG7,2022-05-01,train
MG7,2022-06-01,train
MG7,2022-07-01,train
MG7,2022-08-01,train
MG7,2022-09-01,train
MG7,2022-10-01,train
MG7,2022-11-01,train
MG7,2022-12-01,train
MG7,2023-01-01,train
MG7,2023-02-01,train
MG7,2023-03-01,train
MG7,2023-04-01,train
MG7,2023-05-01,train
MG7,2023-06-01,train
MG7,2023-07-01,train
MG7,2023-08-01,train
MG7,2023-09-01,train
MG7,2023-10-01,train
MG7,2023-11-01,train
MG7,2023-12-01,train
MG7,2024-01-01,train
MG7,2024-02-01,train
MG7,2024-03-01,train
MG7,2024-04-01,train
MG7,2024-05-01,train
MG7,2024-06-01,train
MG7,2024-07-01,train
MG7,2024-08-01,train
MG7,2024-09-01,train
MG7,2024-10-01,train
MG7,2024-11-01,train
MG7,2024-12-01,train
MG7,2025-01-01,train
MG7,2025-02-01,train
MG7,2025-03-01,train
MG7,2025-04-01,train
MG7,2025-05-01,train
MG7,2025-06-01,train
MG7,2025-07-01,val
MG7,2025-08-01,val
MG7,2025-09-01,val
MG7,2025-10-01,val
MG7,2025-11-01,val
MG7,2025-12-01,val
MG7,2026-01-01,test
MG7,2026-02-01,test
MG7,2026-03-01,test
MG7,2026-04-01,test
MG7,2026-05-01,test
MG7,2026-06-01,test
Model 3,2022-01-01,train
Model 3,2022-02-01,train
Model 3,2022-03-01,train
Model 3,2022-04-01,train
Model 3,2022-05-01,train
Model 3,2022-06-01,train
Model 3,2022-07-01,train
Model 3,2022-08-01,train
Model 3,2022-09-01,train
Model 3,2022-10-01,train
Model 3,2022-11-01,train
Model 3,2022-12-01,train
Model 3,2023-01-01,train
Model 3,2023-02-01,train
Model 3,2023-03-01,train
Model 3,2023-04-01,train
Model 3,2023-05-01,train
Model 3,2023-06-01,train
Model 3,2023-07-01,train
Model 3,2023-08-01,train
Model 3,2023-09-01,train
Model 3,2023-10-01,train
Model 3,2023-11-01,train
Model 3,2023-12-01,train
Model 3,2024-01-01,train
Model 3,2024-02-01,train
Model 3,2024-03-01,train
Model 3,2024-04-01,train
Model 3,2024-05-01,train
Model 3,2024-06-01,train
Model 3,2024-07-01,train
Model 3,2024-08-01,train
Model 3,2024-09-01,train
Model 3,2024-10-01,train
Model 3,2024-11-01,train
Model 3,2024-12-01,train
Model 3,2025-01-01,train
Model 3,2025-02-01,train
Model 3,2025-03-01,train
Model 3,2025-04-01,train
Model 3,2025-05-01,train
Model 3,2025-06-01,train
Model 3,2025-07-01,val
Model 3,2025-08-01,val
Model 3,2025-09-01,val
Model 3,2025-10-01,val
Model 3,2025-11-01,val
Model 3,2025-12-01,val
Model 3,2026-01-01,test
Model 3,2026-02-01,test
Model 3,2026-03-01,test
Model 3,2026-04-01,test
Model 3,2026-05-01,test
Model 3,2026-06-01,test
Model Y,2022-01-01,train
Model Y,2022-02-01,train
Model Y,2022-03-01,train
Model Y,2022-04-01,train
Model Y,2022-05-01,train
Model Y,2022-06-01,train
Model Y,2022-07-01,train
Model Y,2022-08-01,train
Model Y,2022-09-01,train
Model Y,2022-10-01,train
Model Y,2022-11-01,train
Model Y,2022-12-01,train
Model Y,2023-01-01,train
Model Y,2023-02-01,train
Model Y,2023-03-01,train
Model Y,2023-04-01,train
Model Y,2023-05-01,train
Model Y,2023-06-01,train
Model Y,2023-07-01,train
Model Y,2023-08-01,train
Model Y,2023-09-01,train
Model Y,2023-10-01,train
Model Y,2023-11-01,train
Model Y,2023-12-01,train
Model Y,2024-01-01,train
Model Y,2024-02-01,train
Model Y,2024-03-01,train
Model Y,2024-04-01,train
Model Y,2024-05-01,train
Model Y,2024-06-01,train
Model Y,2024-07-01,train
Model Y,2024-08-01,train
Model Y,2024-09-01,train
Model Y,2024-10-01,train
Model Y,2024-11-01,train
Model Y,2024-12-01,train
Model Y,2025-01-01,train
Model Y,2025-02-01,train
Model Y,2025-03-01,train
Model Y,2025-04-01,train
Model Y,2025-05-01,train
Model Y,2025-06-01,train
Model Y,2025-07-01,val
Model Y,2025-08-01,val
Model Y,2025-09-01,val
Model Y,2025-10-01,val
Model Y,2025-11-01,val
Model Y,2025-12-01,val
Model Y,2026-01-01,test
Model Y,2026-02-01,test
Model Y,2026-03-01,test
Model Y,2026-04-01,test
Model Y,2026-05-01,test
Model Y,2026-06-01,test
PATHFINDER探陆,2022-01-01,train
PATHFINDER探陆,2022-02-01,train
PATHFINDER探陆,2022-03-01,train
PATHFINDER探陆,2022-04-01,train
PATHFINDER探陆,2022-05-01,train
PATHFINDER探陆,2022-06-01,train
PATHFINDER探陆,2022-07-01,train
PATHFINDER探陆,2022-08-01,train
PATHFINDER探陆,2022-09-01,train
PATHFINDER探陆,2022-10-01,train
PATHFINDER探陆,2022-11-01,train
PATHFINDER探陆,2022-12-01,train
PATHFINDER探陆,2023-01-01,train
PATHFINDER探陆,2023-02-01,train
PATHFINDER探陆,2023-03-01,train
PATHFINDER探陆,2023-04-01,train
PATHFINDER探陆,2023-05-01,train
PATHFINDER探陆,2023-06-01,train
PATHFINDER探陆,2023-07-01,train
PATHFINDER探陆,2023-08-01,train
PATHFINDER探陆,2023-09-01,train
PATHFINDER探陆,2023-10-01,train
PATHFINDER探陆,2023-11-01,train
PATHFINDER探陆,2023-12-01,train
PATHFINDER探陆,2024-01-01,train
PATHFINDER探陆,2024-02-01,train
PATHFINDER探陆,2024-03-01,train
PATHFINDER探陆,2024-04-01,train
PATHFINDER探陆,2024-05-01,train
PATHFINDER探陆,2024-06-01,train
PATHFINDER探陆,2024-07-01,train
PATHFINDER探陆,2024-08-01,train
PATHFINDER探陆,2024-09-01,train
PATHFINDER探陆,2024-10-01,train
PATHFINDER探陆,2024-11-01,train
PATHFINDER探陆,2024-12-01,train
PATHFINDER探陆,2025-01-01,train
PATHFINDER探陆,2025-02-01,train
PATHFINDER探陆,2025-03-01,train
PATHFINDER探陆,2025-04-01,train
PATHFINDER探陆,2025-05-01,train
PATHFINDER探陆,2025-06-01,train
PATHFINDER探陆,2025-07-01,val
PATHFINDER探陆,2025-08-01,val
PATHFINDER探陆,2025-09-01,val
PATHFINDER探陆,2025-10-01,val
PATHFINDER探陆,2025-11-01,val
PATHFINDER探陆,2025-12-01,val
PATHFINDER探陆,2026-01-01,test
PATHFINDER探陆,2026-02-01,test
PATHFINDER探陆,2026-03-01,test
PATHFINDER探陆,2026-04-01,test
PATHFINDER探陆,2026-05-01,test
PATHFINDER探陆,2026-06-01,test
Polestar 4,2022-01-01,train
Polestar 4,2022-02-01,train
Polestar 4,2022-03-01,train
Polestar 4,2022-04-01,train
Polestar 4,2022-05-01,train
Polestar 4,2022-06-01,train
Polestar 4,2022-07-01,train
Polestar 4,2022-08-01,train
Polestar 4,2022-09-01,train
Polestar 4,2022-10-01,train
Polestar 4,2022-11-01,train
Polestar 4,2022-12-01,train
Polestar 4,2023-01-01,train
Polestar 4,2023-02-01,train
Polestar 4,2023-03-01,train
Polestar 4,2023-04-01,train
Polestar 4,2023-05-01,train
Polestar 4,2023-06-01,train
Polestar 4,2023-07-01,train
Polestar 4,2023-08-01,train
Polestar 4,2023-09-01,train
Polestar 4,2023-10-01,train
Polestar 4,2023-11-01,train
Polestar 4,2023-12-01,train
Polestar 4,2024-01-01,train
Polestar 4,2024-02-01,train
Polestar 4,2024-03-01,train
Polestar 4,2024-04-01,train
Polestar 4,2024-05-01,train
Polestar 4,2024-06-01,train
Polestar 4,2024-07-01,train
Polestar 4,2024-08-01,train
Polestar 4,2024-09-01,train
